id_municipio,id_escola,localizacao,rede,atu_em,atu_em_1_ano,atu_em_2_ano,atu_em_3_ano,atu_em_4_ano,afd_em_grupo_1,had_em,had_em_1_ano,had_em_2_ano,had_em_3_ano,had_em_4_ano,tdi_em,tdi_em_1_ano,tdi_em_2_ano,tdi_em_3_ano,tdi_em_4_ano,taxa_abandono_em,taxa_abandono_em_1_ano,taxa_abandono_em_2_ano,taxa_abandono_em_3_ano,taxa_abandono_em_4_ano,dsu_em
3300456,33046247,urbana,estadual,37.9,43.0,29.2,43.5,,,,,,,,59.5,60.9,60.0,56.9,,13.8,17.5,14.7,7.6,,
3300456,33046263,urbana,estadual,31.2,36.0,27.8,32.3,,,,,,,,64.7,41.7,64.0,78.3,,12.3,2.8,18.3,12.5,,
3300456,33046271,urbana,estadual,,,,,,,,,,,,,,,,,,,,,,
3300456,33046280,urbana,estadual,,,,,,,,,,,,,,,,,,,,,,
3300456,33046298,urbana,estadual,,,,,,,,,,,,,,,,,,,,,,
3300456,33046301,urbana,estadual,,,,,,,,,,,,,,,,,,,,,,
3300456,33046514,urbana,estadual,40.6,39.9,43.5,38.7,,,,,,,,77.9,83.5,71.3,74.1,,34.7,46.5,23.7,23.1,,
3300456,33046522,urbana,estadual,45.2,42.1,46.0,56.0,,,,,,,,80.4,82.8,75.5,81.3,,28.4,32.0,26.4,20.7,,
3300456,33046530,urbana,estadual,43.2,40.7,43.1,48.8,,,,,,,,67.0,70.1,64.2,64.8,,24.3,31.6,21.7,14.5,,
3300456,33046549,urbana,estadual,,,,,,,,,,,,,,,,,,,,,,
3300456,33046565,urbana,estadual,,,,,,,,,,,,,,,,,,,,,,
3300456,33046573,urbana,estadual,1.8,1.0,2.0,3.0,,,,,,,,71.4,100.0,50.0,66.7,,57.1,50.0,50.0,66.7,,
3300456,33046581,urbana,estadual,,,,,,,,,,,,,,,,,,,,,,
3300456,33046603,urbana,estadual,,,,,,,,,,,,,,,,,,,,,,
3300456,33046611,urbana,estadual,,,,,,,,,,,,,,,,,,,,,,
3300456,33046620,urbana,estadual,41.4,54.3,36.7,33.3,,,,,,,,91.2,90.2,89.1,95.0,,37.1,47.9,39.6,19.0,,
3300456,33046646,urbana,estadual,,,,,,,,,,,,,,,,,,,,,,
3300456,33046654,urbana,estadual,40.8,40.8,39.3,43.7,,,,,,,,68.4,70.8,63.6,69.5,,31.6,37.1,28.1,20.3,,
3300456,33046662,urbana,estadual,,,,,,,,,,,,,,,,,,,,,,
3300456,33046743,urbana,estadual,41.3,40.7,38.8,46.7,,,,,,,,69.5,69.5,73.7,63.6,,33.2,43.5,31.8,14.3,,
3300456,33046751,urbana,estadual,39.3,41.0,35.8,40.5,,,,,,,,56.8,54.7,55.9,61.7,,17.8,18.5,19.0,15.0,,
3300456,33046778,urbana,estadual,35.6,37.7,35.2,33.6,,,,,,,,82.5,85.4,82.0,79.2,,27.9,40.0,20.0,21.7,,
3300456,33046786,urbana,estadual,47.2,47.4,48.4,45.2,,,,,,,,47.4,52.4,44.8,41.9,,22.6,30.0,19.1,14.1,,
3300456,33046794,urbana,estadual,44.5,45.5,45.2,42.6,,,,,,,,57.7,52.0,63.3,59.2,,8.6,9.0,9.1,7.6,,
3300456,33046808,urbana,estadual,43.2,42.9,45.4,41.0,,,,,,,,56.7,57.5,57.3,54.7,,14.2,16.1,14.1,11.8,,
3300456,33046816,urbana,estadual,37.8,38.1,37.4,37.8,,,,,,,,45.5,43.4,47.1,47.0,,13.9,18.8,10.5,9.2,,
3300456,33046824,urbana,estadual,48.9,50.4,52.5,43.5,,,,,,,,85.1,65.1,98.1,98.3,,23.0,30.0,22.7,13.0,,
3300456,33046867,urbana,estadual,41.7,53.3,39.0,32.7,,,,,,,,86.4,85.0,87.2,87.8,,41.7,45.6,43.1,33.7,,
3300456,33047243,urbana,estadual,35.6,38.3,31.8,37.0,,,,,,,,64.3,60.4,63.4,71.6,,20.9,24.9,21.9,13.7,,
3300456,33047251,urbana,estadual,,,,,,,,,,,,,,,,,,,,,,
3300456,33047278,urbana,estadual,31.1,32.8,32.0,26.5,,,,,,,,76.8,77.1,80.2,69.8,,29.3,37.0,25.8,17.0,,
3300456,33047286,urbana,estadual,39.4,36.5,46.5,38.0,,,,,,,,74.0,74.7,74.2,72.4,,17.2,23.4,13.5,9.6,,
3300456,33047294,urbana,estadual,45.5,54.0,39.5,49.0,,,,,,,,85.7,90.7,87.3,77.6,,12.0,12.8,10.1,14.3,,
3300456,33047308,urbana,estadual,40.7,46.7,35.0,37.5,,,,,,,,45.3,47.1,47.1,40.0,,0.0,0.0,0.0,0.0,,
3300456,33047316,urbana,estadual,36.5,35.4,37.3,37.3,,,,,,,,61.4,57.6,65.8,61.6,,17.2,19.5,18.1,12.6,,
3300456,33047324,urbana,estadual,32.6,37.5,28.5,31.0,,,,,,,,44.2,52.0,36.8,38.7,,7.4,7.1,0.0,19.4,,
3300456,33047332,urbana,estadual,26.0,25.5,31.0,22.0,,,,,,,,62.5,60.8,64.5,63.6,,17.7,24.4,8.7,13.3,,
3300456,33047340,urbana,estadual,,,,,,,,,,,,,,,,,,,,,,
3300456,33047910,urbana,estadual,37.4,43.3,30.0,37.0,,,,,,,,58.5,59.5,53.3,62.2,,17.7,20.3,18.2,10.8,,
3300456,33047928,urbana,estadual,49.1,49.8,46.8,51.3,,,,,,,,67.5,65.2,70.5,67.5,,16.8,18.7,17.7,11.8,,
3300456,33047936,urbana,estadual,35.9,40.8,38.7,26.7,,,,,,,,69.6,69.3,69.0,71.3,,19.6,27.8,11.4,15.0,,
3300456,33047944,urbana,estadual,,,,,,,,,,,,,,,,,,,,,,
3300456,33047960,urbana,estadual,44.6,45.3,48.2,41.3,43.8,,,,,,,40.8,41.2,38.2,46.8,35.4,10.2,17.0,9.6,6.3,2.9,
3300456,33059306,urbana,estadual,,,,,,,,,,,,,,,,,,,,,,
3300456,33060673,urbana,estadual,,,,,,,,,,,,,,,,,,,,,,
3300456,33061122,urbana,estadual,,,,,,,,,,,,,,,,,,,,,,
3300456,33094144,urbana,estadual,43.0,34.3,55.0,44.0,,,,,,,,70.1,68.0,65.5,78.4,,23.1,29.8,20.8,17.9,,
3300456,33097275,urbana,estadual,47.4,53.0,41.0,50.0,,,,,,,,84.6,87.4,80.5,86.0,,44.2,50.3,40.5,35.4,,
3300456,33098115,urbana,estadual,,,,,,,,,,,,,,,,,,,,,,
3300456,33098123,urbana,estadual,,,,,,,,,,,,,,,,,,,,,,
3300456,33098131,urbana,estadual,52.1,48.3,54.7,60.0,,,,,,,,83.0,77.2,87.8,88.3,,40.9,43.6,46.8,16.7,,
3300456,33131422,urbana,estadual,5.7,15.0,1.0,1.0,,,,,,,,88.2,93.3,100.0,,,0.0,0.0,,,,
3300456,33211205,urbana,estadual,,,,,,,,,,,,,,,,,,,,,,
3300456,33046506,urbana,municipal,,,,,,,,,,,,,,,,,,,,,,
3300456,33046557,urbana,municipal,,,,,,,,,,,,,,,,,,,,,,
3300456,33046590,urbana,municipal,,,,,,,,,,,,,,,,,,,,,,
3300456,33046638,urbana,municipal,,,,,,,,,,,,,,,,,,,,,,
3300456,33046670,urbana,municipal,,,,,,,,,,,,,,,,,,,,,,
3300456,33046875,urbana,municipal,,,,,,,,,,,,,,,,,,,,,,
3300456,33046883,urbana,municipal,,,,,,,,,,,,,,,,,,,,,,
3300456,33047383,urbana,municipal,,,,,,,,,,,,,,,,,,,,,,
3300456,33047391,urbana,municipal,,,,,,,,,,,,,,,,,,,,,,
3300456,33047405,urbana,municipal,,,,,,,,,,,,,,,,,,,,,,
3300456,33047413,urbana,municipal,,,,,,,,,,,,,,,,,,,,,,
3300456,33047421,urbana,municipal,,,,,,,,,,,,,,,,,,,,,,
3300456,33047430,urbana,municipal,,,,,,,,,,,,,,,,,,,,,,
3300456,33047456,urbana,municipal,,,,,,,,,,,,,,,,,,,,,,
3300456,33047464,urbana,municipal,,,,,,,,,,,,,,,,,,,,,,
3300456,33047472,urbana,municipal,,,,,,,,,,,,,,,,,,,,,,
3300456,33047537,urbana,municipal,,,,,,,,,,,,,,,,,,,,,,
3300456,33047545,urbana,municipal,,,,,,,,,,,,,,,,,,,,,,
3300456,33047553,urbana,municipal,,,,,,,,,,,,,,,,,,,,,,
3300456,33047561,urbana,municipal,,,,,,,,,,,,,,,,,,,,,,
3300456,33047600,urbana,municipal,,,,,,,,,,,,,,,,,,,,,,
3300456,33047618,urbana,municipal,,,,,,,,,,,,,,,,,,,,,,
3300456,33047634,urbana,municipal,,,,,,,,,,,,,,,,,,,,,,
3300456,33047642,urbana,municipal,,,,,,,,,,,,,,,,,,,,,,
3300456,33047650,urbana,municipal,,,,,,,,,,,,,,,,,,,,,,
3300456,33047669,urbana,municipal,,,,,,,,,,,,,,,,,,,,,,
