id_municipio,id_escola,localizacao,rede,atu_em,atu_em_1_ano,atu_em_2_ano,atu_em_3_ano,atu_em_4_ano,afd_em_grupo_1,had_em,had_em_1_ano,had_em_2_ano,had_em_3_ano,had_em_4_ano,tdi_em,tdi_em_1_ano,tdi_em_2_ano,tdi_em_3_ano,tdi_em_4_ano,taxa_abandono_em,taxa_abandono_em_1_ano,taxa_abandono_em_2_ano,taxa_abandono_em_3_ano,taxa_abandono_em_4_ano,dsu_em
3301702,33050791,rural,estadual,23.6,29.0,23.0,18.7,,75.7,5.6,6.3,5.1,5.1,,45.8,48.3,50.7,35.7,,,,,,,100.0
3301702,33097810,rural,estadual,30.4,25.0,42.0,29.5,,75.0,5.4,6.2,4.9,4.8,,52.3,57.0,46.4,52.5,,,,,,,100.0
3301702,33101620,rural,estadual,10.7,14.0,9.0,9.0,,68.6,6.9,9.1,5.3,5.3,,53.1,57.1,44.4,55.6,,,,,,,100.0
3301702,33050902,rural,municipal,,,,,,,,,,,,,,,,,,,,,,
3301702,33050929,rural,municipal,,,,,,,,,,,,,,,,,,,,,,
3301702,33050945,rural,municipal,,,,,,,,,,,,,,,,,,,,,,
3301702,33050953,rural,municipal,,,,,,,,,,,,,,,,,,,,,,
3301702,33050961,rural,municipal,,,,,,,,,,,,,,,,,,,,,,
3301702,33050970,rural,municipal,,,,,,,,,,,,,,,,,,,,,,
3301702,33050988,rural,municipal,,,,,,,,,,,,,,,,,,,,,,
3301702,33050996,rural,municipal,,,,,,,,,,,,,,,,,,,,,,
3301702,33051020,rural,municipal,,,,,,,,,,,,,,,,,,,,,,
3301702,33051038,rural,municipal,,,,,,,,,,,,,,,,,,,,,,
3301702,33104999,rural,municipal,,,,,,,,,,,,,,,,,,,,,,
3301702,33117985,rural,municipal,,,,,,,,,,,,,,,,,,,,,,
3301702,33144133,rural,municipal,,,,,,,,,,,,,,,,,,,,,,
3301702,33110549,rural,privada,29.7,27.0,36.0,26.0,,64.9,5.3,5.3,5.3,5.3,,4.5,11.1,0.0,3.8,,,,,,,100.0
3301702,33163421,rural,privada,,,,,,,,,,,,,,,,,,,,,,
3301702,33163537,rural,privada,,,,,,,,,,,,,,,,,,,,,,
3301702,33183651,rural,privada,,,,,,,,,,,,,,,,,,,,,,
3301702,33187355,rural,privada,,,,,,,,,,,,,,,,,,,,,,
3301702,33520267,rural,privada,,,,,,,,,,,,,,,,,,,,,,
3301702,33048274,urbana,estadual,,,,,,,,,,,,,,,,,,,,,,
3301702,33048282,urbana,estadual,35.5,38.9,29.8,38.3,,79.4,5.3,5.8,4.8,4.8,,72.4,76.5,69.8,68.0,,,,,,,100.0
