  Time                 , V(M2:s)              
  0.000000000000e+000  ,4.880023507080e-001  
  1.000000000000e-013  ,4.870509463921e-001  
  2.000000000000e-013  ,4.860996765506e-001  
  3.999978849199e-013  ,4.841974529096e-001  
  7.999936547596e-013  ,4.803960240284e-001  
  1.599985194439e-012  ,4.728027476379e-001  
  3.199968273798e-012  ,4.576453654677e-001  
  4.452888174960e-012  ,4.454656655364e-001  
  5.414405973675e-012  ,4.361340480507e-001  
  7.249766281852e-012  ,4.183768802015e-001  
  9.021280061966e-012  ,4.013065627280e-001  
  1.000000300000e-011  ,3.919049456389e-001  
  1.021230180076e-011  ,3.919049455384e-001  
  1.063689940228e-011  ,3.919049454796e-001  
  1.144371215223e-011  ,3.919049454382e-001  
  1.305733765211e-011  ,3.919049452151e-001  
  1.628458865188e-011  ,3.919049447692e-001  
  2.273909065143e-011  ,3.919049438777e-001  
  3.564809465051e-011  ,3.919049420951e-001  
  6.146610264868e-011  ,3.919049385314e-001  
  1.131021186450e-010  ,3.919049314011e-001  
  2.163741506377e-010  ,3.919049171446e-001  
  4.229182146230e-010  ,3.919048886360e-001  
  8.360063425937e-010  ,3.919048316057e-001  
  1.662182598535e-009  ,3.919047175574e-001  
  3.314535110418e-009  ,3.919044894506e-001  
  6.619240134183e-009  ,3.919040330914e-001  
  1.322865018171e-008  ,3.919031204453e-001  
  2.644747027678e-008  ,3.919012953013e-001  
  5.288511046690e-008  ,3.918976464937e-001  
  8.288412818236e-008  ,3.918935091355e-001  
  1.128831458978e-007  ,3.918893833163e-001  
  1.428821636133e-007  ,3.918852668435e-001  
  1.728811813287e-007  ,3.918811593013e-001  
  2.028801990442e-007  ,3.918770605417e-001  
  2.328792167596e-007  ,3.918729705033e-001  
  2.628782344751e-007  ,3.918688894560e-001  
  2.928772521905e-007  ,3.918648173652e-001  
  3.228762699060e-007  ,3.918607539174e-001  
  3.528752876214e-007  ,3.918566990942e-001  
  3.828743053369e-007  ,3.918526528772e-001  
  4.128733230524e-007  ,3.918486152481e-001  
  4.428723407678e-007  ,3.918445861888e-001  
  4.728713584833e-007  ,3.918405656810e-001  
  5.000100000030e-007  ,3.918369708856e-001  
  5.000110000027e-007  ,4.014431470786e-001  
  5.000130001634e-007  ,4.207222839103e-001  
  5.000165661103e-007  ,4.553077125566e-001  
  5.000192844080e-007  ,4.811283298229e-001  
  5.000193559672e-007  ,4.818082532651e-001  
  5.000194990762e-007  ,4.831680902311e-001  
  5.000197852942e-007  ,4.858885779372e-001  
  5.000200000030e-007  ,4.879310252398e-001  
  5.000200572466e-007  ,4.879310252426e-001  
  5.000201717292e-007  ,4.879310252484e-001  
  5.000204006945e-007  ,4.879310252599e-001  
  5.000208586251e-007  ,4.879310252829e-001  
  5.000217744863e-007  ,4.879310253290e-001  
  5.000236062086e-007  ,4.879310254212e-001  
  5.000272696533e-007  ,4.879310256055e-001  
  5.000345965426e-007  ,4.879310259740e-001  
  5.000492503212e-007  ,4.879310267112e-001  
  5.000785578785e-007  ,4.879310281856e-001  
  5.001371729930e-007  ,4.879310311342e-001  
  5.002544032221e-007  ,4.879310370312e-001  
  5.004888636803e-007  ,4.879310488239e-001  
  5.009577845966e-007  ,4.879310724052e-001  
  5.018956264292e-007  ,4.879311195516e-001  
  5.037713100945e-007  ,4.879312137981e-001  
  5.075226774251e-007  ,4.879314017789e-001  
  5.150254120862e-007  ,4.879317762575e-001  
  5.300308814084e-007  ,4.879325193197e-001  
  5.600298991238e-007  ,4.879339815851e-001  
  5.900289168393e-007  ,4.879354102102e-001  
  6.200279345547e-007  ,4.879368030301e-001  
  6.500269522702e-007  ,4.879381609419e-001  
  6.800259699856e-007  ,4.879394848207e-001  
  7.100249877011e-007  ,4.879407755194e-001  
  7.400240054165e-007  ,4.879420338694e-001  
  7.700230231320e-007  ,4.879432606817e-001  
  8.000220408474e-007  ,4.879444567465e-001  
  8.300210585629e-007  ,4.879456228345e-001  
  8.600200762784e-007  ,4.879467596969e-001  
  8.900190939938e-007  ,4.879478661757e-001  
  9.200181117093e-007  ,4.879490069687e-001  
  9.500171294247e-007  ,4.879501864136e-001  
  9.800161471402e-007  ,4.879513391803e-001  
  1.000000000003e-006  ,4.879520200095e-001  
  1.000001000003e-006  ,4.784469042095e-001  
  1.000003000163e-006  ,4.594912617355e-001  
  1.000004602147e-006  ,4.439668100599e-001  
  1.000006149380e-006  ,4.289656271850e-001  
  1.000008070596e-006  ,4.104169035288e-001  
  1.000010000003e-006  ,3.918631550187e-001  
  1.000010202420e-006  ,3.918631544889e-001  
  1.000010607236e-006  ,3.918631544329e-001  
  1.000011416868e-006  ,3.918631543220e-001  
  1.000013036133e-006  ,3.918631541017e-001  
  1.000016274662e-006  ,3.918631536626e-001  
  1.000022751719e-006  ,3.918631527900e-001  
  1.000035705834e-006  ,3.918631510521e-001  
  1.000061614064e-006  ,3.918631475780e-001  
  1.000113430524e-006  ,3.918631406283e-001  
  1.000217063443e-006  ,3.918631266736e-001  
  1.000424329282e-006  ,3.918630987970e-001  
  1.000838860960e-006  ,3.918630429302e-001  
  1.001667924316e-006  ,3.918629311070e-001  
  1.003326051028e-006  ,3.918627082599e-001  
  1.006642304451e-006  ,3.918622637979e-001  
  1.013274811299e-006  ,3.918613748943e-001  
  1.026539824994e-006  ,3.918595898146e-001  
  1.053069852383e-006  ,3.918560225549e-001  
  1.083068870099e-006  ,3.918520352267e-001  
  1.113067887814e-006  ,3.918480843518e-001  
  1.143066905529e-006  ,3.918441418246e-001  
  1.173065923245e-006  ,3.918402076633e-001  
  1.203064940960e-006  ,3.918362818474e-001  
  1.233063958676e-006  ,3.918323643649e-001  
  1.263062976391e-006  ,3.918284551952e-001  
  1.293061994107e-006  ,3.918245543206e-001  
  1.323061011822e-006  ,3.918206617236e-001  
  1.353060029538e-006  ,3.918167773866e-001  
  1.383059047253e-006  ,3.918129012919e-001  
  1.413058064969e-006  ,3.918090334222e-001  
  1.443057082684e-006  ,3.918051737599e-001  
  1.473056100399e-006  ,3.918013222876e-001  
  1.500000000000e-006  ,3.917977027336e-001  
