id_municipio,id_escola,localizacao,rede,atu_em,atu_em_1_ano,atu_em_2_ano,atu_em_3_ano,atu_em_4_ano,afd_em_grupo_1,had_em,had_em_1_ano,had_em_2_ano,had_em_3_ano,had_em_4_ano,tdi_em,tdi_em_1_ano,tdi_em_2_ano,tdi_em_3_ano,tdi_em_4_ano,taxa_abandono_em,taxa_abandono_em_1_ano,taxa_abandono_em_2_ano,taxa_abandono_em_3_ano,taxa_abandono_em_4_ano,dsu_em
3301900,33051739,rural,estadual,29.1,35.7,28.0,20.5,,,,,,,,62.7,60.7,64.3,65.9,,23.7,27.6,14.8,25.7,,
3301900,33051747,rural,estadual,,,,,,,,,,,,,,,,,,,,,,
3301900,33052255,rural,estadual,,,,,,,,,,,,,,,,,,,,,,
3301900,33051496,rural,municipal,,,,,,,,,,,,,,,,,,,,,,
3301900,33051526,rural,municipal,,,,,,,,,,,,,,,,,,,,,,
3301900,33051550,rural,municipal,,,,,,,,,,,,,,,,,,,,,,
3301900,33051577,rural,municipal,,,,,,,,,,,,,,,,,,,,,,
3301900,33051607,rural,municipal,,,,,,,,,,,,,,,,,,,,,,
3301900,33051615,rural,municipal,,,,,,,,,,,,,,,,,,,,,,
3301900,33051623,rural,municipal,,,,,,,,,,,,,,,,,,,,,,
3301900,33051631,rural,municipal,,,,,,,,,,,,,,,,,,,,,,
3301900,33051682,rural,municipal,,,,,,,,,,,,,,,,,,,,,,
3301900,33051720,rural,municipal,,,,,,,,,,,,,,,,,,,,,,
3301900,33051755,rural,municipal,,,,,,,,,,,,,,,,,,,,,,
3301900,33051771,rural,municipal,,,,,,,,,,,,,,,,,,,,,,
3301900,33051780,rural,municipal,,,,,,,,,,,,,,,,,,,,,,
3301900,33051801,rural,municipal,,,,,,,,,,,,,,,,,,,,,,
3301900,33051860,rural,municipal,,,,,,,,,,,,,,,,,,,,,,
3301900,33051887,rural,municipal,,,,,,,,,,,,,,,,,,,,,,
3301900,33051909,rural,municipal,,,,,,,,,,,,,,,,,,,,,,
3301900,33051925,rural,municipal,,,,,,,,,,,,,,,,,,,,,,
3301900,33051933,rural,municipal,,,,,,,,,,,,,,,,,,,,,,
3301900,33051984,rural,municipal,,,,,,,,,,,,,,,,,,,,,,
3301900,33052018,rural,municipal,,,,,,,,,,,,,,,,,,,,,,
3301900,33052034,rural,municipal,,,,,,,,,,,,,,,,,,,,,,
