id_municipio,id_escola,localizacao,rede,atu_em,atu_em_1_ano,atu_em_2_ano,atu_em_3_ano,atu_em_4_ano,afd_em_grupo_1,had_em,had_em_1_ano,had_em_2_ano,had_em_3_ano,had_em_4_ano,tdi_em,tdi_em_1_ano,tdi_em_2_ano,tdi_em_3_ano,tdi_em_4_ano,taxa_abandono_em,taxa_abandono_em_1_ano,taxa_abandono_em_2_ano,taxa_abandono_em_3_ano,taxa_abandono_em_4_ano,dsu_em
3302270,33052573,rural,estadual,,,,,,,,,,,,,,,,,,,,,,
3302270,33052590,rural,municipal,,,,,,,,,,,,,,,,,,,,,,
3302270,33052654,rural,municipal,,,,,,,,,,,,,,,,,,,,,,
3302270,33052689,rural,municipal,,,,,,,,,,,,,,,,,,,,,,
3302270,33061858,rural,municipal,,,,,,,,,,,,,,,,,,,,,,
3302270,33131597,rural,municipal,,,,,,,,,,,,,,,,,,,,,,
3302270,33210608,rural,municipal,,,,,,,,,,,,,,,,,,,,,,
3302270,33052743,rural,privada,,,,,,,,,,,,,,,,,,,,,,
3302270,33052433,urbana,estadual,23.0,27.5,19.0,18.0,,,5.8,5.8,5.8,5.8,,52.2,60.0,36.8,44.4,,12.1,16.7,5.3,5.6,,
3302270,33052441,urbana,estadual,35.0,33.5,34.2,39.3,,,4.9,4.9,4.9,4.8,,44.5,50.2,42.1,38.1,,15.9,18.1,15.5,12.5,,
3302270,33052492,urbana,estadual,35.8,34.3,37.5,36.7,,,5.7,5.7,5.6,5.6,,27.0,27.7,27.3,25.5,,1.1,0.9,0.0,2.7,,
3302270,33052514,urbana,estadual,31.9,41.3,24.5,27.3,,,5.2,5.4,4.7,5.1,,60.4,50.8,71.4,68.3,,0.8,1.7,0.0,0.0,,
3302270,33052530,urbana,estadual,43.6,44.0,48.0,38.0,,,5.8,5.8,5.8,5.8,,40.4,43.2,39.6,31.6,,11.7,13.7,4.6,15.6,,
3302270,33052557,urbana,estadual,,,,,,,,,,,,,,,,,,,,,,
3302270,33100080,urbana,estadual,39.4,42.2,35.3,40.8,,,5.2,5.2,5.1,5.1,,67.0,67.7,69.7,63.2,,15.0,14.7,10.2,20.4,,
3302270,33100209,urbana,estadual,27.5,34.0,21.0,,,,5.8,5.8,5.8,,,54.5,55.9,52.4,,,0.0,0.0,0.0,,,
3302270,33100217,urbana,estadual,34.8,36.0,34.0,41.0,27.5,,6.9,8.9,5.7,5.8,5.8,48.0,52.1,42.2,45.1,52.7,13.2,19.1,12.6,12.5,0.0,
3302270,33101671,urbana,estadual,38.4,42.5,38.0,46.0,,,4.5,4.7,4.7,4.7,,92.8,94.1,92.1,89.1,,50.7,62.7,60.5,32.7,,
3302270,33052450,urbana,municipal,,,,,,,,,,,,,,,,,,,,,,
3302270,33052581,urbana,municipal,,,,,,,,,,,,,,,,,,,,,,
3302270,33052603,urbana,municipal,,,,,,,,,,,,,,,,,,,,,,
3302270,33052611,urbana,municipal,,,,,,,,,,,,,,,,,,,,,,
3302270,33052620,urbana,municipal,,,,,,,,,,,,,,,,,,,,,,
3302270,33052638,urbana,municipal,,,,,,,,,,,,,,,,,,,,,,
3302270,33052646,urbana,municipal,,,,,,,,,,,,,,,,,,,,,,
3302270,33052662,urbana,municipal,,,,,,,,,,,,,,,,,,,,,,
3302270,33052670,urbana,municipal,,,,,,,,,,,,,,,,,,,,,,
3302270,33052697,urbana,municipal,,,,,,,,,,,,,,,,,,,,,,
3302270,33097470,urbana,municipal,,,,,,,,,,,,,,,,,,,,,,
3302270,33097488,urbana,municipal,,,,,,,,,,,,,,,,,,,,,,
3302270,33115010,urbana,municipal,,,,,,,,,,,,,,,,,,,,,,
3302270,33118752,urbana,municipal,,,,,,,,,,,,,,,,,,,,,,
3302270,33118760,urbana,municipal,,,,,,,,,,,,,,,,,,,,,,
3302270,33118779,urbana,municipal,,,,,,,,,,,,,,,,,,,,,,
3302270,33118787,urbana,municipal,,,,,,,,,,,,,,,,,,,,,,
3302270,33118795,urbana,municipal,,,,,,,,,,,,,,,,,,,,,,
3302270,33128936,urbana,municipal,,,,,,,,,,,,,,,,,,,,,,
3302270,33138915,urbana,municipal,,,,,,,,,,,,,,,,,,,,,,
3302270,33139237,urbana,municipal,,,,,,,,,,,,,,,,,,,,,,
3302270,33150974,urbana,municipal,,,,,,,,,,,,,,,,,,,,,,
3302270,33153523,urbana,municipal,,,,,,,,,,,,,,,,,,,,,,
3302270,33153531,urbana,municipal,,,,,,,,,,,,,,,,,,,,,,
3302270,33052425,urbana,privada,,,,,,,,,,,,,,,,,,,,,,
3302270,33052484,urbana,privada,40.7,43.0,35.0,44.0,,,5.3,5.3,5.3,5.3,,6.6,4.7,5.7,9.1,,,,,,,
3302270,33100195,urbana,privada,,,,,,,,,,,,,,,,,,,,,,
3302270,33103224,urbana,privada,,,,,,,,,,,,,,,,,,,,,,
3302270,33110190,urbana,privada,,,,,,,,,,,,,,,,,,,,,,
