id_municipio,id_escola,localizacao,rede,atu_em,atu_em_1_ano,atu_em_2_ano,atu_em_3_ano,atu_em_4_ano,afd_em_grupo_1,had_em,had_em_1_ano,had_em_2_ano,had_em_3_ano,had_em_4_ano,tdi_em,tdi_em_1_ano,tdi_em_2_ano,tdi_em_3_ano,tdi_em_4_ano,taxa_abandono_em,taxa_abandono_em_1_ano,taxa_abandono_em_2_ano,taxa_abandono_em_3_ano,taxa_abandono_em_4_ano,dsu_em
3302502,33051070,rural,estadual,19.3,17.5,33.0,9.0,,74.5,5.6,6.0,5.3,5.3,,70.1,77.1,72.7,33.3,,,,,,,100.0
3302502,33052808,rural,estadual,28.6,28.7,30.0,26.5,,91.3,7.1,7.5,6.9,7.1,,20.1,31.4,13.3,13.2,,,,,,,100.0
3302502,33053189,rural,estadual,29.6,33.2,30.2,24.6,,78.3,5.0,5.0,5.0,5.0,,54.9,57.8,59.1,43.9,,,,,,,96.8
3302502,33052859,rural,municipal,,,,,,,,,,,,,,,,,,,,,,
3302502,33052956,rural,municipal,,,,,,,,,,,,,,,,,,,,,,
3302502,33052980,rural,municipal,,,,,,,,,,,,,,,,,,,,,,
3302502,33052999,rural,municipal,,,,,,,,,,,,,,,,,,,,,,
3302502,33053006,rural,municipal,,,,,,,,,,,,,,,,,,,,,,
3302502,33053014,rural,municipal,,,,,,,,,,,,,,,,,,,,,,
3302502,33053235,rural,municipal,,,,,,,,,,,,,,,,,,,,,,
3302502,33053537,rural,municipal,,,,,,,,,,,,,,,,,,,,,,
3302502,33053545,rural,municipal,,,,,,,,,,,,,,,,,,,,,,
3302502,33053731,rural,municipal,,,,,,,,,,,,,,,,,,,,,,
3302502,33053820,rural,municipal,,,,,,,,,,,,,,,,,,,,,,
3302502,33053839,rural,municipal,,,,,,,,,,,,,,,,,,,,,,
3302502,33053847,rural,municipal,,,,,,,,,,,,,,,,,,,,,,
3302502,33097500,rural,municipal,,,,,,,,,,,,,,,,,,,,,,
3302502,33132771,rural,municipal,,,,,,,,,,,,,,,,,,,,,,
3302502,33138338,rural,municipal,,,,,,,,,,,,,,,,,,,,,,
3302502,33142084,rural,municipal,,,,,,,,,,,,,,,,,,,,,,
3302502,33142122,rural,municipal,,,,,,,,,,,,,,,,,,,,,,
3302502,33145725,rural,municipal,,,,,,,,,,,,,,,,,,,,,,
3302502,33149917,rural,municipal,,,,,,,,,,,,,,,,,,,,,,
3302502,33188483,rural,municipal,,,,,,,,,,,,,,,,,,,,,,
3302502,33456283,rural,municipal,,,,,,,,,,,,,,,,,,,,,,
3302502,33502218,rural,municipal,,,,,,,,,,,,,,,,,,,,,,
3302502,33052786,urbana,estadual,34.1,35.0,38.3,28.8,,87.8,9.3,9.0,9.4,9.5,,34.6,43.7,30.0,27.7,,,,,,,100.0
3302502,33052816,urbana,estadual,34.2,30.5,37.4,36.7,,81.5,5.1,5.2,5.2,5.1,,39.8,48.5,35.8,32.3,,,,,,,100.0
3302502,33052891,urbana,estadual,26.6,28.5,21.5,33.0,,66.7,5.3,5.3,5.3,5.3,,23.3,24.6,27.9,15.2,,,,,,,100.0
3302502,33052913,urbana,estadual,30.3,25.0,40.0,31.0,,74.5,5.9,6.7,5.3,5.3,,30.6,36.0,35.0,16.1,,,,,,,100.0
3302502,33052930,urbana,estadual,32.8,32.2,34.8,31.4,,69.1,6.7,6.5,7.2,6.5,,39.3,46.1,35.1,35.7,,,,,,,100.0
3302502,33053162,urbana,estadual,24.7,27.2,24.7,21.8,,88.2,5.3,5.3,5.3,5.3,,38.5,43.4,33.8,39.1,,,,,,,97.0
3302502,33053340,urbana,estadual,37.7,38.9,38.1,35.0,,79.0,5.5,6.0,5.2,5.1,,42.9,43.7,43.8,40.0,,,,,,,100.0
3302502,33053359,urbana,estadual,36.5,37.8,33.0,38.8,,81.7,6.5,7.1,6.9,5.0,,60.0,67.0,50.9,59.4,,,,,,,100.0
3302502,33053383,urbana,estadual,37.6,39.0,37.5,36.1,,79.3,6.8,6.6,7.1,6.8,,34.4,41.8,29.9,31.4,,,,,,,100.0
3302502,33053391,urbana,estadual,33.2,34.1,31.7,33.6,,80.6,5.1,5.1,5.1,5.1,,60.8,67.8,55.0,55.3,,,,,,,100.0
3302502,33053413,urbana,estadual,32.7,29.5,35.4,34.0,,84.9,5.2,5.2,5.2,5.2,,28.0,32.8,24.0,27.0,,,,,,,100.0
3302502,33053693,urbana,estadual,28.3,25.5,29.5,31.5,,84.1,7.4,7.2,7.7,7.4,,26.9,44.1,18.6,14.3,,,,,,,100.0
3302502,33053715,urbana,estadual,29.0,28.8,27.6,31.7,,83.7,5.3,5.9,5.0,5.0,,41.6,44.4,44.9,32.6,,,,,,,100.0
3302502,33053766,urbana,estadual,32.4,29.5,30.0,43.0,,69.8,5.6,6.3,5.3,5.3,,44.4,45.8,40.0,48.8,,,,,,,100.0
3302502,33053774,urbana,estadual,24.9,28.7,23.7,22.3,,71.2,5.9,7.0,5.3,5.3,,33.5,43.0,26.8,28.4,,,,,,,100.0
3302502,33125325,urbana,estadual,27.8,20.0,33.0,33.0,,82.1,5.5,6.3,5.3,5.3,,38.1,57.5,36.4,18.2,,,,,,,100.0
3302502,33052832,urbana,municipal,,,,,,,,,,,,,,,,,,,,,,
3302502,33052867,urbana,municipal,,,,,,,,,,,,,,,,,,,,,,
3302502,33052883,urbana,municipal,,,,,,,,,,,,,,,,,,,,,,
3302502,33052964,urbana,municipal,,,,,,,,,,,,,,,,,,,,,,
3302502,33052972,urbana,municipal,,,,,,,,,,,,,,,,,,,,,,
3302502,33053022,urbana,municipal,,,,,,,,,,,,,,,,,,,,,,
3302502,33053030,urbana,municipal,,,,,,,,,,,,,,,,,,,,,,
3302502,33053049,urbana,municipal,,,,,,,,,,,,,,,,,,,,,,
