id_municipio,id_escola,localizacao,rede,atu_em,atu_em_1_ano,atu_em_2_ano,atu_em_3_ano,atu_em_4_ano,afd_em_grupo_1,had_em,had_em_1_ano,had_em_2_ano,had_em_3_ano,had_em_4_ano,tdi_em,tdi_em_1_ano,tdi_em_2_ano,tdi_em_3_ano,tdi_em_4_ano,taxa_abandono_em,taxa_abandono_em_1_ano,taxa_abandono_em_2_ano,taxa_abandono_em_3_ano,taxa_abandono_em_4_ano,dsu_em
3303203,33054576,urbana,estadual,34.5,37.2,33.2,32.5,,67.2,5.1,5.1,5.1,5.1,,31.0,33.4,33.7,24.0,,10.3,11.8,9.0,9.8,,100.0
3303203,33054584,urbana,estadual,38.5,38.8,38.3,38.3,,68.0,5.0,5.0,5.0,4.9,,29.9,36.5,26.3,26.4,,4.4,6.0,3.9,3.0,,100.0
3303203,33054592,urbana,estadual,30.9,32.8,31.0,27.0,,59.8,5.3,5.3,5.3,5.3,,55.0,65.6,51.6,35.2,,9.3,11.7,10.2,1.8,,100.0
3303203,33054606,urbana,estadual,26.3,29.8,23.8,23.3,,74.8,5.3,5.3,5.3,5.3,,30.4,29.1,32.8,30.0,,15.3,18.0,14.4,9.9,,100.0
3303203,33054681,urbana,estadual,30.6,31.2,29.0,31.5,,81.4,5.3,5.3,5.3,5.3,,38.6,47.4,29.9,28.6,,2.4,2.1,3.7,1.6,,100.0
3303203,33054711,urbana,estadual,28.3,31.7,26.0,27.3,,51.5,5.3,5.3,5.3,5.3,,32.9,40.0,29.5,28.0,,1.7,4.4,0.0,0.0,,100.0
3303203,33054843,urbana,estadual,32.6,33.4,30.5,34.0,,60.5,11.3,11.3,11.3,11.3,,23.3,24.8,21.9,22.9,,3.3,7.1,0.6,1.2,,100.0
3303203,33054983,urbana,estadual,22.9,22.1,23.8,23.3,,74.3,5.3,5.3,5.3,5.3,,37.1,45.8,36.1,23.7,,14.1,20.3,15.7,1.1,,100.0
3303203,33055025,urbana,estadual,25.4,29.5,26.8,18.0,,65.0,5.1,5.2,5.1,5.1,,54.1,52.5,57.9,50.0,,17.5,18.9,17.0,15.8,,100.0
3303203,33055033,urbana,estadual,26.6,30.2,23.3,23.3,,72.3,5.2,5.2,5.1,5.1,,35.9,39.8,34.4,27.9,,0.0,0.0,0.0,0.0,,100.0
3303203,33099049,urbana,estadual,32.8,33.4,38.3,24.7,,78.2,5.3,5.3,5.3,5.3,,33.2,43.7,26.8,23.0,,0.3,0.7,0.0,0.0,,100.0
3303203,33101078,urbana,estadual,15.9,20.3,13.0,14.3,,43.1,5.1,5.2,5.1,5.0,,49.7,54.1,41.0,51.2,,5.0,3.5,5.0,7.2,,100.0
3303203,33170045,urbana,estadual,,,,,,,,,,,,,,,,,,,,,,
3303203,33136718,urbana,federal,31.6,,,,,96.3,5.0,,,,,,,,,,3.2,,,,,100.0
3303203,33054525,urbana,municipal,,,,,,,,,,,,,,,,,,,,,,
3303203,33054614,urbana,municipal,,,,,,,,,,,,,,,,,,,,,,
3303203,33054738,urbana,municipal,,,,,,,,,,,,,,,,,,,,,,
3303203,33054746,urbana,municipal,,,,,,,,,,,,,,,,,,,,,,
3303203,33054754,urbana,municipal,,,,,,,,,,,,,,,,,,,,,,
3303203,33054762,urbana,municipal,,,,,,,,,,,,,,,,,,,,,,
3303203,33054770,urbana,municipal,,,,,,,,,,,,,,,,,,,,,,
3303203,33054789,urbana,municipal,,,,,,,,,,,,,,,,,,,,,,
3303203,33054975,urbana,municipal,,,,,,,,,,,,,,,,,,,,,,
3303203,33055041,urbana,municipal,,,,,,,,,,,,,,,,,,,,,,
3303203,33055050,urbana,municipal,,,,,,,,,,,,,,,,,,,,,,
3303203,33055068,urbana,municipal,,,,,,,,,,,,,,,,,,,,,,
