id_municipio,id_escola,localizacao,rede,atu_em,atu_em_1_ano,atu_em_2_ano,atu_em_3_ano,atu_em_4_ano,afd_em_grupo_1,had_em,had_em_1_ano,had_em_2_ano,had_em_3_ano,had_em_4_ano,tdi_em,tdi_em_1_ano,tdi_em_2_ano,tdi_em_3_ano,tdi_em_4_ano,taxa_abandono_em,taxa_abandono_em_1_ano,taxa_abandono_em_2_ano,taxa_abandono_em_3_ano,taxa_abandono_em_4_ano,dsu_em
3303302,33188750,rural,privada,,,,,,,,,,,,,,,,,,,,,,
3303302,33055300,urbana,estadual,,,,,,,,,,,,,,,,,,,,,,
3303302,33055467,urbana,estadual,24.0,40.0,15.0,17.0,,81.3,5.3,5.3,5.3,5.3,,72.2,72.5,80.0,64.7,,,,,,,100.0
3303302,33055610,urbana,estadual,29.9,32.3,25.6,31.1,,87.4,7.1,8.8,7.3,5.2,,37.8,40.6,40.0,33.1,,,,,,,100.0
3303302,33055629,urbana,estadual,29.1,32.5,24.5,27.0,,82.4,5.5,5.7,5.3,5.3,,61.4,68.5,61.2,44.4,,,,,,,100.0
3303302,33055637,urbana,estadual,27.4,26.0,32.0,25.0,,83.3,9.6,9.6,9.6,9.6,,21.9,28.2,18.8,16.0,,,,,,,100.0
3303302,33055645,urbana,estadual,22.0,24.8,20.8,19.0,,78.2,5.2,5.2,5.2,5.1,,60.2,61.3,62.7,54.4,,,,,,,100.0
3303302,33055653,urbana,estadual,32.1,34.7,29.3,30.7,,97.3,5.5,5.7,5.3,5.3,,51.6,60.6,47.0,37.0,,,,,,,100.0
3303302,33055661,urbana,estadual,24.3,26.5,29.0,15.0,,88.4,5.8,6.3,5.3,5.3,,64.9,73.6,62.1,40.0,,,,,,,100.0
3303302,33055670,urbana,estadual,23.3,23.0,24.5,22.5,,89.5,5.5,5.8,5.3,5.3,,45.4,53.6,46.9,31.1,,,,,,,100.0
3303302,33055696,urbana,estadual,25.7,26.0,19.5,31.5,,80.5,8.0,7.5,9.3,7.9,,43.9,59.0,33.3,31.7,,,,,,,100.0
3303302,33055700,urbana,estadual,32.1,32.0,35.5,29.0,,89.7,5.4,5.6,5.3,5.3,,52.5,63.3,47.9,34.5,,,,,,,100.0
