id_municipio,id_escola,localizacao,rede,atu_em,atu_em_1_ano,atu_em_2_ano,atu_em_3_ano,atu_em_4_ano,afd_em_grupo_1,had_em,had_em_1_ano,had_em_2_ano,had_em_3_ano,had_em_4_ano,tdi_em,tdi_em_1_ano,tdi_em_2_ano,tdi_em_3_ano,tdi_em_4_ano,taxa_abandono_em,taxa_abandono_em_1_ano,taxa_abandono_em_2_ano,taxa_abandono_em_3_ano,taxa_abandono_em_4_ano,dsu_em
3303500,33058687,rural,estadual,31.6,36.7,32.0,23.5,,,,,,,,48.9,50.9,48.4,44.7,,10.2,13.6,3.5,11.4,,
3303500,33060819,rural,estadual,37.6,37.0,32.0,50.0,,,,,,,,70.7,62.2,76.6,76.0,,39.2,48.7,37.1,28.0,,
3303500,33117764,rural,estadual,20.7,33.0,14.5,,,,,,,,,59.7,48.5,72.4,,,0.0,0.0,0.0,,,
3303500,33059608,rural,municipal,,,,,,,,,,,,,,,,,,,,,,
3303500,33059780,rural,municipal,,,,,,,,,,,,,,,,,,,,,,
3303500,33060070,rural,municipal,,,,,,,,,,,,,,,,,,,,,,
3303500,33060134,rural,municipal,,,,,,,,,,,,,,,,,,,,,,
3303500,33060789,rural,municipal,,,,,,,,,,,,,,,,,,,,,,
3303500,33060924,rural,municipal,,,,,,,,,,,,,,,,,,,,,,
3303500,33061971,rural,municipal,,,,,,,,,,,,,,,,,,,,,,
3303500,33103518,rural,privada,,,,,,,,,,,,,,,,,,,,,,
3303500,33148058,rural,privada,,,,,,,,,,,,,,,,,,,,,,
3303500,33058180,urbana,estadual,39.4,40.3,42.0,35.5,,,,,,,,54.0,60.3,42.9,56.3,,14.7,11.3,14.9,20.3,,
3303500,33058199,urbana,estadual,37.0,38.5,40.0,31.0,,,,,,,,43.2,50.6,35.0,35.5,,12.9,6.4,17.5,24.1,,
3303500,33058202,urbana,estadual,,,,,,,,,,,,,,,,,,,,,,
3303500,33058210,urbana,estadual,,,,,,,,,,,,,,,,,,,,,,
3303500,33058229,urbana,estadual,,,,,,,,,,,,,,,,,,,,,,
3303500,33058237,urbana,estadual,44.0,44.0,,,,,,,,,,75.0,75.0,,,,26.2,26.2,,,,
3303500,33058245,urbana,estadual,,,,,,,,,,,,,,,,,,,,,,
3303500,33058261,urbana,estadual,38.0,42.0,33.3,39.0,,,,,,,,74.7,70.6,71.0,85.9,,2.6,3.2,2.0,2.5,,
3303500,33058270,urbana,estadual,,,,,,,,,,,,,,,,,,,,,,
3303500,33058288,urbana,estadual,34.3,28.0,33.7,48.0,,,,,,,,84.8,83.9,84.2,86.5,,18.4,25.2,19.2,9.6,,
3303500,33058296,urbana,estadual,23.0,23.0,,,,,,,,,,39.1,39.1,,,,5.3,5.3,,,,
3303500,33058300,urbana,estadual,54.6,56.2,50.5,57.3,,,,,,,,79.8,78.3,82.7,79.1,,39.4,43.9,47.8,22.1,,
3303500,33058318,urbana,estadual,36.2,39.5,34.0,34.0,,,,,,,,45.3,53.2,38.2,41.2,,20.3,31.0,9.6,17.6,,
3303500,33058326,urbana,estadual,31.8,33.0,32.0,29.0,,,,,,,,35.4,37.9,28.1,37.9,,7.4,11.5,0.0,6.9,,
3303500,33058334,urbana,estadual,41.8,41.0,39.7,46.5,,,,,,,,92.0,94.5,92.4,87.1,,44.8,51.6,52.2,23.9,,
3303500,33058342,urbana,estadual,,,,,,,,,,,,,,,,,,,,,,
3303500,33058350,urbana,estadual,,,,,,,,,,,,,,,,,,,,,,
3303500,33058369,urbana,estadual,,,,,,,,,,,,,,,,,,,,,,
3303500,33058377,urbana,estadual,,,,,,,,,,,,,,,,,,,,,,
3303500,33058385,urbana,estadual,,,,,,,,,,,,,,,,,,,,,,
3303500,33058393,urbana,estadual,,,,,,,,,,,,,,,,,,,,,,
3303500,33058407,urbana,estadual,19.0,19.0,,,,,,,,,,73.7,73.7,,,,7.7,7.7,,,,
3303500,33058415,urbana,estadual,,,,,,,,,,,,,,,,,,,,,,
3303500,33058423,urbana,estadual,,,,,,,,,,,,,,,,,,,,,,
3303500,33058431,urbana,estadual,,,,,,,,,,,,,,,,,,,,,,
3303500,33058440,urbana,estadual,35.8,35.2,36.5,,,,,,,,,36.3,32.4,41.1,,,9.6,9.9,9.2,,,
3303500,33058458,urbana,estadual,38.5,44.3,27.0,50.0,,,,,,,,47.1,50.8,45.7,36.0,,16.0,12.3,23.6,15.9,,
3303500,33058466,urbana,estadual,,,,,,,,,,,,,,,,,,,,,,
3303500,33058474,urbana,estadual,37.1,43.8,35.2,31.2,,,,,,,,80.0,76.8,84.8,78.8,,24.4,26.1,31.7,12.2,,
3303500,33058482,urbana,estadual,,,,,,,,,,,,,,,,,,,,,,
3303500,33058571,urbana,estadual,38.8,38.2,40.8,37.4,,,,,,,,57.7,55.0,62.3,56.1,,24.8,21.1,28.4,25.6,,
3303500,33058580,urbana,estadual,39.6,38.6,37.3,42.7,43.0,,,,,,,45.4,43.8,48.7,48.5,30.2,6.1,5.4,6.7,8.1,1.1,
3303500,33058601,urbana,estadual,39.4,35.0,42.3,39.8,,,,,,,,49.2,56.6,43.2,52.2,,18.8,25.6,17.3,13.5,,
3303500,33058610,urbana,estadual,34.3,35.2,31.3,38.0,,,,,,,,35.5,43.8,34.4,18.4,,12.3,12.0,14.5,9.3,,
3303500,33058636,urbana,estadual,36.2,34.1,36.4,42.6,,,,,,,,64.0,67.0,59.5,63.4,,6.9,6.1,9.9,4.3,,
3303500,33058652,urbana,estadual,37.1,39.0,36.8,35.3,,,,,,,,55.9,57.3,53.4,57.1,,19.6,19.7,17.6,21.9,,
3303500,33058679,urbana,estadual,37.7,44.5,28.7,37.5,,,,,,,,45.7,47.2,46.5,41.3,,21.3,22.8,20.4,18.7,,
3303500,33058695,urbana,estadual,29.6,32.4,25.5,32.4,29.0,,,,,,,55.3,59.9,61.3,50.0,31.0,16.3,16.6,22.2,12.2,5.3,
3303500,33058709,urbana,estadual,31.6,28.3,30.7,38.6,,,,,,,,58.8,60.8,55.3,60.1,,23.1,25.2,25.1,17.9,,
3303500,33058733,urbana,estadual,34.1,34.0,37.5,31.0,,,,,,,,60.3,67.6,49.3,61.3,,20.2,19.8,16.7,25.0,,
3303500,33058741,urbana,estadual,31.9,31.3,34.3,30.5,,,,,,,,61.1,58.5,66.4,59.0,,23.5,22.8,26.9,20.6,,
3303500,33058750,urbana,estadual,40.9,41.0,40.8,41.0,,,,,,,,59.9,59.5,58.3,62.6,,20.1,19.6,22.5,17.8,,
