id_municipio,id_escola,localizacao,rede,atu_em,atu_em_1_ano,atu_em_2_ano,atu_em_3_ano,atu_em_4_ano,afd_em_grupo_1,had_em,had_em_1_ano,had_em_2_ano,had_em_3_ano,had_em_4_ano,tdi_em,tdi_em_1_ano,tdi_em_2_ano,tdi_em_3_ano,tdi_em_4_ano,taxa_abandono_em,taxa_abandono_em_1_ano,taxa_abandono_em_2_ano,taxa_abandono_em_3_ano,taxa_abandono_em_4_ano,dsu_em
3303609,33038988,rural,municipal,,,,,,,,,,,,,,,,,,,,,,
3303609,33038996,rural,municipal,,,,,,,,,,,,,,,,,,,,,,
3303609,33039020,rural,municipal,,,,,,,,,,,,,,,,,,,,,,
3303609,33039046,rural,municipal,,,,,,,,,,,,,,,,,,,,,,
3303609,33039089,rural,municipal,,,,,,,,,,,,,,,,,,,,,,
3303609,33039097,rural,municipal,,,,,,,,,,,,,,,,,,,,,,
3303609,33039127,rural,municipal,,,,,,,,,,,,,,,,,,,,,,
3303609,33039143,rural,municipal,,,,,,,,,,,,,,,,,,,,,,
3303609,33038872,urbana,estadual,26.8,28.6,27.3,23.3,,,5.1,5.1,5.1,5.0,,32.9,39.9,25.6,27.1,,5.7,5.4,6.2,5.7,,100.0
3303609,33038880,urbana,estadual,25.2,26.0,28.0,21.0,,,5.0,5.3,5.2,5.2,,36.8,42.3,37.5,19.0,,14.8,14.0,7.4,4.9,,100.0
3303609,33038899,urbana,estadual,18.5,18.7,25.0,19.0,,,5.1,5.2,5.1,5.1,,42.4,53.6,48.0,18.4,,12.2,13.8,18.0,0.0,,100.0
3303609,33038929,urbana,estadual,25.5,36.0,22.2,19.1,19.0,,5.2,5.2,5.2,5.1,5.3,35.2,41.0,34.5,26.2,26.3,3.7,5.7,2.0,2.4,0.0,98.7
3303609,33197601,urbana,federal,23.3,,,,,,4.9,,,,,,,,,,2.6,,,,,100.0
3303609,33038902,urbana,municipal,,,,,,,,,,,,,,,,,,,,,,
3303609,33038945,urbana,municipal,,,,,,,,,,,,,,,,,,,,,,
3303609,33038961,urbana,municipal,,,,,,,,,,,,,,,,,,,,,,
3303609,33038970,urbana,municipal,,,,,,,,,,,,,,,,,,,,,,
3303609,33039011,urbana,municipal,,,,,,,,,,,,,,,,,,,,,,
3303609,33039038,urbana,municipal,,,,,,,,,,,,,,,,,,,,,,
3303609,33039054,urbana,municipal,,,,,,,,,,,,,,,,,,,,,,
3303609,33039062,urbana,municipal,,,,,,,,,,,,,,,,,,,,,,
3303609,33039070,urbana,municipal,,,,,,,,,,,,,,,,,,,,,,
3303609,33039119,urbana,municipal,,,,,,,,,,,,,,,,,,,,,,
3303609,33039135,urbana,municipal,,,,,,,,,,,,,,,,,,,,,,
3303609,33145598,urbana,municipal,,,,,,,,,,,,,,,,,,,,,,
3303609,33214603,urbana,municipal,,,,,,,,,,,,,,,,,,,,,,
3303609,33038910,urbana,privada,24.0,27.0,19.0,26.0,,,5.5,5.5,5.5,5.5,,11.1,7.4,10.5,15.4,,0.0,0.0,0.0,0.0,,100.0
3303609,33039151,urbana,privada,22.7,40.0,15.0,13.0,,,6.3,6.3,6.3,6.3,,2.9,,6.7,7.7,,0.0,0.0,0.0,0.0,,100.0
3303609,33039160,urbana,privada,,,,,,,,,,,,,,,,,,,,,,
3303609,33103704,urbana,privada,,,,,,,,,,,,,,,,,,,,,,
3303609,33136637,urbana,privada,,,,,,,,,,,,,,,,,,,,,,
3303609,33137811,urbana,privada,,,,,,,,,,,,,,,,,,,,,,
3303609,33158770,urbana,privada,,,,,,,,,,,,,,,,,,,,,,
3303609,33244219,urbana,privada,,,,,,,,,,,,,,,,,,,,,,
3303609,33170282,rural,estadual,,,,,,,,,,,,,,,,,,,,,,
3303609,33038988,rural,municipal,,,,,,,,,,,,,,,,,,,,,,
3303609,33038996,rural,municipal,,,,,,,,,,,,,,,,,,,,,,
3303609,33039020,rural,municipal,,,,,,,,,,,,,,,,,,,,,,
3303609,33039089,rural,municipal,,,,,,,,,,,,,,,,,,,,,,
3303609,33039097,rural,municipal,,,,,,,,,,,,,,,,,,,,,,
3303609,33039127,rural,municipal,,,,,,,,,,,,,,,,,,,,,,
3303609,33039143,rural,municipal,,,,,,,,,,,,,,,,,,,,,,
3303609,33038872,urbana,estadual,19.9,20.8,21.7,17.0,,57.1,5.1,5.1,5.1,5.0,,33.7,44.6,32.3,17.6,,0.6,1.3,0.0,0.0,,100.0
3303609,33038880,urbana,estadual,21.1,22.1,21.0,19.3,,59.7,5.2,5.2,5.2,5.1,,42.6,48.0,44.8,27.3,,21.8,21.2,22.9,22.1,,95.2
3303609,33038899,urbana,estadual,13.6,15.7,11.3,14.0,,69.3,5.1,5.2,5.1,4.9,,45.0,51.1,38.2,42.9,,15.3,13.0,18.7,14.8,,100.0
3303609,33038929,urbana,estadual,29.5,31.1,31.4,25.0,,28.2,5.9,6.1,5.9,5.5,,33.2,36.8,35.9,22.7,,0.5,1.2,0.0,0.0,,93.8
3303609,33197601,urbana,federal,27.6,,,,,100.0,4.9,,,,,,,,,,10.8,,,,,100.0
3303609,33038902,urbana,municipal,,,,,,,,,,,,,,,,,,,,,,
3303609,33038945,urbana,municipal,,,,,,,,,,,,,,,,,,,,,,
3303609,33038961,urbana,municipal,,,,,,,,,,,,,,,,,,,,,,
3303609,33038970,urbana,municipal,,,,,,,,,,,,,,,,,,,,,,
3303609,33039011,urbana,municipal,,,,,,,,,,,,,,,,,,,,,,
3303609,33039038,urbana,municipal,,,,,,,,,,,,,,,,,,,,,,
3303609,33039054,urbana,municipal,,,,,,,,,,,,,,,,,,,,,,
3303609,33039062,urbana,municipal,,,,,,,,,,,,,,,,,,,,,,
3303609,33039070,urbana,municipal,,,,,,,,,,,,,,,,,,,,,,
3303609,33039119,urbana,municipal,,,,,,,,,,,,,,,,,,,,,,
3303609,33039135,urbana,municipal,,,,,,,,,,,,,,,,,,,,,,
3303609,33145598,urbana,municipal,,,,,,,,,,,,,,,,,,,,,,
3303609,33214603,urbana,municipal,,,,,,,,,,,,,,,,,,,,,,
3303609,33038910,urbana,privada,,,,,,,,,,,,,,,,,,,,,,
3303609,33039151,urbana,privada,31.3,33.0,38.0,23.0,,60.5,6.3,6.3,6.3,6.3,,5.3,9.1,5.3,0.0,,0.0,0.0,0.0,0.0,,94.1
3303609,33039160,urbana,privada,,,,,,,,,,,,,,,,,,,,,,
3303609,33103704,urbana,privada,,,,,,,,,,,,,,,,,,,,,,
3303609,33137811,urbana,privada,,,,,,,,,,,,,,,,,,,,,,
3303609,33158770,urbana,privada,,,,,,,,,,,,,,,,,,,,,,
3303609,33173559,urbana,privada,,,,,,,,,,,,,,,,,,,,,,
3303609,33244219,urbana,privada,,,,,,,,,,,,,,,,,,,,,,
3303609,33038988,rural,municipal,,,,,,,,,,,,,,,,,,,,,,
3303609,33038996,rural,municipal,,,,,,,,,,,,,,,,,,,,,,
3303609,33039020,rural,municipal,,,,,,,,,,,,,,,,,,,,,,
3303609,33039046,rural,municipal,,,,,,,,,,,,,,,,,,,,,,
3303609,33039089,rural,municipal,,,,,,,,,,,,,,,,,,,,,,
3303609,33039097,rural,municipal,,,,,,,,,,,,,,,,,,,,,,
3303609,33039127,rural,municipal,,,,,,,,,,,,,,,,,,,,,,
3303609,33039143,rural,municipal,,,,,,,,,,,,,,,,,,,,,,
3303609,33038872,urbana,estadual,36.6,35.8,39.3,34.3,,,,,,,,37.1,46.9,28.7,33.0,,14.4,20.0,10.5,11.0,,
3303609,33038880,urbana,estadual,27.7,28.3,25.5,31.0,,,,,,,,65.7,70.8,64.7,58.1,,29.8,42.5,24.0,16.1,,
3303609,33038899,urbana,estadual,32.0,43.0,31.0,22.0,,,,,,,,81.3,95.3,80.6,54.5,,41.1,42.9,48.4,27.3,,
3303609,33038929,urbana,estadual,34.6,35.1,37.1,33.3,24.0,,,,,,,48.5,44.4,51.7,53.0,29.2,18.4,16.8,25.3,12.8,6.4,
3303609,33038937,urbana,estadual,30.8,31.5,40.0,20.0,,,,,,,,25.2,31.7,27.5,,,8.4,11.5,7.7,0.0,,
3303609,33197601,urbana,federal,35.5,,,,,,,,,,,,,,,,6.3,,,,,
3303609,33038902,urbana,municipal,,,,,,,,,,,,,,,,,,,,,,
3303609,33038945,urbana,municipal,,,,,,,,,,,,,,,,,,,,,,
3303609,33038961,urbana,municipal,,,,,,,,,,,,,,,,,,,,,,
3303609,33038970,urbana,municipal,,,,,,,,,,,,,,,,,,,,,,
3303609,33039038,urbana,municipal,,,,,,,,,,,,,,,,,,,,,,
3303609,33039054,urbana,municipal,,,,,,,,,,,,,,,,,,,,,,
3303609,33039062,urbana,municipal,,,,,,,,,,,,,,,,,,,,,,
3303609,33039070,urbana,municipal,,,,,,,,,,,,,,,,,,,,,,
3303609,33039119,urbana,municipal,,,,,,,,,,,,,,,,,,,,,,
3303609,33039135,urbana,municipal,,,,,,,,,,,,,,,,,,,,,,
3303609,33145598,urbana,municipal,,,,,,,,,,,,,,,,,,,,,,
3303609,33038910,urbana,privada,26.6,33.0,23.0,27.0,,,,,,,,8.3,12.1,6.5,7.4,,0.0,0.0,0.0,0.0,,
3303609,33039151,urbana,privada,,,,,,,,,,,,,,,,,,,,,,
3303609,33039160,urbana,privada,,,,,,,,,,,,,,,,,,,,,,
3303609,33137811,urbana,privada,,,,,,,,,,,,,,,,,,,,,,
3303609,33170282,rural,estadual,,,,,,,,,,,,,,,,,,,,,,
3303609,33038988,rural,municipal,,,,,,,,,,,,,,,,,,,,,,
3303609,33038996,rural,municipal,,,,,,,,,,,,,,,,,,,,,,
3303609,33039020,rural,municipal,,,,,,,,,,,,,,,,,,,,,,
3303609,33039089,rural,municipal,,,,,,,,,,,,,,,,,,,,,,
3303609,33039097,rural,municipal,,,,,,,,,,,,,,,,,,,,,,
3303609,33039127,rural,municipal,,,,,,,,,,,,,,,,,,,,,,
3303609,33039143,rural,municipal,,,,,,,,,,,,,,,,,,,,,,
3303609,33038872,urbana,estadual,21.5,20.0,22.3,22.7,,68.1,5.1,5.2,5.1,5.1,,31.6,45.0,25.4,22.1,,3.4,4.1,6.4,0.0,,96.8
3303609,33038880,urbana,estadual,22.4,22.7,24.6,19.0,,58.3,5.2,5.2,5.2,5.1,,36.3,45.9,32.5,22.4,,8.9,12.4,9.9,0.0,,97.9
3303609,33038899,urbana,estadual,14.6,18.0,8.3,19.0,,74.7,5.0,5.1,5.1,5.0,,42.7,48.1,40.0,36.8,,11.7,10.9,8.0,15.4,,100.0
3303609,33038929,urbana,estadual,27.4,28.9,24.4,29.2,,27.4,5.9,6.0,5.6,6.0,,32.1,35.1,35.1,25.7,,4.5,5.0,4.1,4.1,,95.7
3303609,33197601,urbana,federal,24.7,,,,,96.5,5.2,,,,,,,,,,3.1,,,,,100.0
3303609,33038902,urbana,municipal,,,,,,,,,,,,,,,,,,,,,,
3303609,33038945,urbana,municipal,,,,,,,,,,,,,,,,,,,,,,
3303609,33038961,urbana,municipal,,,,,,,,,,,,,,,,,,,,,,
3303609,33038970,urbana,municipal,,,,,,,,,,,,,,,,,,,,,,
3303609,33039011,urbana,municipal,,,,,,,,,,,,,,,,,,,,,,
