id_municipio,id_escola,localizacao,rede,atu_em,atu_em_1_ano,atu_em_2_ano,atu_em_3_ano,atu_em_4_ano,afd_em_grupo_1,had_em,had_em_1_ano,had_em_2_ano,had_em_3_ano,had_em_4_ano,tdi_em,tdi_em_1_ano,tdi_em_2_ano,tdi_em_3_ano,tdi_em_4_ano,taxa_abandono_em,taxa_abandono_em_1_ano,taxa_abandono_em_2_ano,taxa_abandono_em_3_ano,taxa_abandono_em_4_ano,dsu_em
3304557,33086540,rural,estadual,47.4,57.3,48.3,36.7,,,,,,,,83.1,89.0,76.6,82.7,,38.6,47.7,42.8,19.1,,
3304557,33066434,rural,municipal,,,,,,,,,,,,,,,,,,,,,,
3304557,33083240,rural,municipal,,,,,,,,,,,,,,,,,,,,,,
3304557,33116598,rural,privada,,,,,,,,,,,,,,,,,,,,,,
3304557,33122148,rural,privada,,,,,,,,,,,,,,,,,,,,,,
3304557,33128170,rural,privada,,,,,,,,,,,,,,,,,,,,,,
3304557,33136149,rural,privada,,,,,,,,,,,,,,,,,,,,,,
3304557,33147698,rural,privada,,,,,,,,,,,,,,,,,,,,,,
3304557,33062226,urbana,estadual,33.0,,,33.0,,,,,,,,98.5,,,98.5,,9.2,,,9.2,,
3304557,33062250,urbana,estadual,54.8,64.3,42.0,59.5,,,,,,,,86.5,91.7,88.1,76.5,,43.2,46.4,41.3,40.3,,
3304557,33062277,urbana,estadual,37.8,36.8,39.7,37.5,,,,,,,,89.2,91.8,91.6,84.7,,,,,,,
3304557,33062293,urbana,estadual,35.8,26.8,46.3,43.0,,,,,,,,94.6,96.9,90.6,96.1,,1.2,1.3,2.3,0.0,,
3304557,33062340,urbana,estadual,,,,,,,,,,,,,,,,,,,,,,
3304557,33062374,urbana,estadual,47.0,46.0,50.0,45.5,,,,,,,,91.8,93.5,93.0,87.9,,2.1,1.4,4.0,1.1,,
3304557,33062404,urbana,estadual,26.0,45.3,21.5,11.3,,,,,,,,92.3,92.3,96.5,84.4,,25.8,25.1,34.9,11.1,,
3304557,33062650,urbana,estadual,42.3,48.0,44.0,35.0,,,,,,,,92.4,91.0,93.2,93.3,,38.1,42.7,47.2,21.0,,
3304557,33062668,urbana,estadual,30.8,36.0,32.2,24.7,30.2,,,,,,,16.5,19.4,20.7,18.2,7.2,0.0,0.0,0.0,0.0,0.0,
3304557,33062676,urbana,estadual,44.9,44.4,46.1,44.3,,,,,,,,56.8,79.4,56.4,8.6,,21.9,26.8,16.2,18.9,,
3304557,33062897,urbana,estadual,32.0,28.5,35.0,40.0,,,,,,,,94.6,94.7,95.7,92.5,,20.8,26.9,22.0,5.0,,
3304557,33062919,urbana,estadual,35.1,31.8,38.4,38.4,,,,,,,,60.8,61.4,68.0,50.8,,7.1,13.0,1.4,3.5,,
3304557,33062927,urbana,estadual,30.7,28.3,25.5,48.0,,,,,,,,89.1,90.6,86.3,89.6,,23.4,5.9,41.2,35.4,,
3304557,33063052,urbana,estadual,27.1,26.3,23.0,32.5,,,,,,,,95.8,100.0,93.5,92.3,,9.3,15.9,2.6,6.6,,
3304557,33063389,urbana,estadual,35.7,35.5,38.0,33.5,,,,,,,,93.9,95.8,90.8,95.5,,1.4,5.9,0.0,0.0,,
3304557,33063397,urbana,estadual,47.9,48.2,47.6,47.7,,,,,,,,52.1,52.4,51.1,52.7,,5.9,7.0,6.1,2.9,,
3304557,33063400,urbana,estadual,24.3,19.0,29.5,31.7,,,,,,,,93.7,93.4,94.9,92.6,,19.9,27.5,23.7,3.2,,
3304557,33063877,urbana,estadual,32.8,31.3,31.7,37.5,,,,,,,,96.9,98.4,95.8,96.0,,33.1,44.0,26.6,23.0,,
3304557,33063885,urbana,estadual,37.0,45.5,38.5,27.0,,,,,,,,96.4,97.8,97.4,92.6,,1.0,1.1,1.7,0.0,,
3304557,33063893,urbana,estadual,31.0,29.0,23.5,52.0,,,,,,,,93.5,94.3,89.4,96.2,,0.6,0.0,2.2,0.0,,
3304557,33063907,urbana,estadual,22.0,25.8,20.5,17.8,,,,,,,,96.4,97.4,95.1,95.8,,18.1,13.7,23.5,21.4,,
3304557,33064636,urbana,estadual,44.3,55.5,44.5,33.0,,,,,,,,91.7,91.0,93.3,90.9,,27.4,38.0,27.1,11.1,,
3304557,33064644,urbana,estadual,40.9,42.8,38.1,41.4,,,,,,,,60.5,65.5,59.7,51.5,,16.6,18.9,15.6,13.5,,
3304557,33064652,urbana,estadual,40.6,41.0,40.1,40.6,,,,,,,,51.4,49.7,51.0,55.6,,7.1,7.8,7.8,5.1,,
3304557,33064806,urbana,estadual,,,,,,,,,,,,,,,,,,,,,,
3304557,33064849,urbana,estadual,40.5,41.2,43.0,37.0,,,,,,,,95.3,97.1,96.1,91.0,,1.7,2.6,0.9,0.9,,
3304557,33065217,urbana,estadual,37.1,37.5,37.8,35.6,,,,,,,,65.5,67.2,66.7,60.4,,14.7,17.8,12.1,12.0,,
3304557,33065276,urbana,estadual,39.5,40.0,42.2,34.6,,,,,,,,54.5,53.7,54.7,56.0,,9.6,13.1,8.1,3.9,,
3304557,33065284,urbana,estadual,33.1,36.6,33.0,31.1,30.2,,,,,,,45.9,38.3,61.5,49.0,37.0,16.8,23.2,22.7,12.6,3.9,
3304557,33065292,urbana,estadual,35.8,41.5,35.5,30.5,,,,,,,,99.1,100.0,98.6,98.4,,30.4,43.8,25.4,18.3,,
