id_municipio,id_escola,localizacao,rede,atu_em,atu_em_1_ano,atu_em_2_ano,atu_em_3_ano,atu_em_4_ano,afd_em_grupo_1,had_em,had_em_1_ano,had_em_2_ano,had_em_3_ano,had_em_4_ano,tdi_em,tdi_em_1_ano,tdi_em_2_ano,tdi_em_3_ano,tdi_em_4_ano,taxa_abandono_em,taxa_abandono_em_1_ano,taxa_abandono_em_2_ano,taxa_abandono_em_3_ano,taxa_abandono_em_4_ano,dsu_em
3304904,33090815,rural,estadual,24.8,29.0,23.5,22.0,,71.8,4.8,5.0,4.9,4.5,,36.9,39.7,36.2,34.1,,,,,,,100.0
3304904,33090882,rural,estadual,27.2,28.0,24.0,32.0,,88.3,5.3,5.3,5.3,5.3,,43.4,35.7,45.8,53.1,,,,,,,100.0
3304904,33089671,rural,municipal,,,,,,,,,,,,,,,,,,,,,,
3304904,33090297,rural,municipal,,,,,,,,,,,,,,,,,,,,,,
3304904,33090408,rural,municipal,,,,,,,,,,,,,,,,,,,,,,
3304904,33090416,rural,municipal,,,,,,,,,,,,,,,,,,,,,,
3304904,33090505,rural,municipal,,,,,,,,,,,,,,,,,,,,,,
3304904,33090513,rural,municipal,,,,,,,,,,,,,,,,,,,,,,
3304904,33103933,rural,municipal,,,,,,,,,,,,,,,,,,,,,,
3304904,33125368,rural,municipal,,,,,,,,,,,,,,,,,,,,,,
3304904,33138397,rural,municipal,,,,,,,,,,,,,,,,,,,,,,
3304904,33166510,rural,municipal,,,,,,,,,,,,,,,,,,,,,,
3304904,33177295,rural,municipal,,,,,,,,,,,,,,,,,,,,,,
3304904,33179832,rural,municipal,,,,,,,,,,,,,,,,,,,,,,
3304904,33287201,rural,municipal,,,,,,,,,,,,,,,,,,,,,,
3304904,33288216,rural,municipal,,,,,,,,,,,,,,,,,,,,,,
3304904,33131589,rural,privada,,,,,,,,,,,,,,,,,,,,,,
3304904,33164010,rural,privada,,,,,,,,,,,,,,,,,,,,,,
3304904,33442215,rural,privada,17.3,24.0,17.0,11.0,,53.8,6.2,6.3,6.2,6.0,,15.4,4.2,17.6,36.4,,,,,,,100.0
3304904,33051879,urbana,estadual,31.6,31.4,29.3,35.0,,87.3,5.1,5.2,5.1,5.0,,62.0,70.1,53.0,60.0,,,,,,,100.0
3304904,33088691,urbana,estadual,,,,,,,,,,,,,,,,,,,,,,
3304904,33088870,urbana,estadual,16.9,15.7,15.0,20.5,,81.0,5.9,7.1,5.1,5.1,,60.2,48.9,73.3,63.4,,,,,,,100.0
3304904,33088896,urbana,estadual,22.6,29.0,18.0,20.0,,98.9,5.8,6.4,5.3,5.3,,46.4,48.3,51.9,35.0,,,,,,,100.0
3304904,33088900,urbana,estadual,27.5,26.4,33.0,23.7,,84.8,5.3,5.6,5.0,5.0,,58.9,57.6,61.6,57.7,,,,,,,97.7
3304904,33088926,urbana,estadual,16.5,23.0,13.5,13.0,,88.4,7.0,6.7,7.5,7.1,,34.3,39.1,37.0,23.1,,,,,,,100.0
3304904,33088942,urbana,estadual,26.0,32.0,33.0,7.0,,56.5,6.1,6.6,5.3,5.3,,71.2,71.9,72.7,57.1,,,,,,,93.3
3304904,33088950,urbana,estadual,24.3,21.0,28.0,27.0,,83.7,5.9,6.7,5.3,5.3,,51.5,59.5,39.3,51.9,,,,,,,100.0
3304904,33088969,urbana,estadual,,,,,,,,,,,,,,,,,,,,,,
3304904,33089043,urbana,estadual,33.0,35.3,38.0,25.0,,77.9,5.0,5.0,5.0,4.9,,57.9,56.7,60.5,56.0,,,,,,,100.0
3304904,33089051,urbana,estadual,35.1,36.6,35.2,33.4,,88.3,5.3,5.4,5.2,5.2,,41.1,46.4,40.8,34.8,,,,,,,100.0
3304904,33089060,urbana,estadual,25.1,25.4,23.0,26.5,,81.0,5.7,6.0,5.3,5.3,,55.8,61.4,50.0,47.2,,,,,,,97.1
3304904,33089086,urbana,estadual,22.6,35.0,17.0,20.5,,93.4,8.8,9.7,9.7,7.5,,41.9,55.7,45.1,28.0,,,,,,,100.0
3304904,33089094,urbana,estadual,32.0,33.7,31.6,30.7,,90.1,5.2,5.2,5.2,5.1,,38.7,40.4,38.5,37.0,,,,,,,98.4
3304904,33089108,urbana,estadual,30.4,30.2,29.1,32.4,,91.8,6.2,6.1,6.4,6.1,,45.3,49.0,44.4,40.8,,,,,,,99.0
3304904,33089124,urbana,estadual,24.3,26.0,29.0,17.3,,62.6,6.4,6.6,6.2,6.3,,39.1,45.2,35.6,32.7,,,,,,,100.0
3304904,33089337,urbana,estadual,,,,,,,,,,,,,,,,,,,,,,
3304904,33089370,urbana,estadual,,,,,,,,,,,,,,,,,,,,,,
3304904,33089388,urbana,estadual,26.9,27.8,26.8,25.3,,69.7,5.5,5.8,5.3,5.3,,50.3,58.1,38.3,50.0,,,,,,,100.0
