id_municipio,id_escola,localizacao,rede,atu_em,atu_em_1_ano,atu_em_2_ano,atu_em_3_ano,atu_em_4_ano,afd_em_grupo_1,had_em,had_em_1_ano,had_em_2_ano,had_em_3_ano,had_em_4_ano,tdi_em,tdi_em_1_ano,tdi_em_2_ano,tdi_em_3_ano,tdi_em_4_ano,taxa_abandono_em,taxa_abandono_em_1_ano,taxa_abandono_em_2_ano,taxa_abandono_em_3_ano,taxa_abandono_em_4_ano,dsu_em
3305109,33047979,urbana,estadual,44.5,50.5,42.0,35.0,,,5.8,5.8,5.8,5.8,,50.6,57.4,50.0,31.4,,15.7,17.9,14.2,11.4,,
3305109,33092141,urbana,estadual,42.9,33.7,50.5,59.0,,,4.8,5.1,5.0,4.7,,70.5,65.3,69.3,81.4,,24.2,32.0,21.8,29.3,,
3305109,33092168,urbana,estadual,34.0,43.0,25.0,25.0,,,5.8,5.8,5.8,5.8,,55.1,60.5,40.0,52.0,,31.5,31.7,45.9,16.7,,
3305109,33092176,urbana,estadual,40.4,42.6,40.7,36.8,,,5.3,5.3,5.2,5.3,,57.1,55.1,63.9,51.0,,22.8,22.3,21.8,25.9,,
3305109,33092184,urbana,estadual,47.1,43.5,54.3,44.7,,,4.9,5.0,4.9,4.7,,86.1,89.7,82.5,85.1,,6.2,10.1,4.3,1.6,,
3305109,33092206,urbana,estadual,,,,,,,,,,,,,,,,,,,,,,
3305109,33092214,urbana,estadual,33.0,31.9,35.0,32.3,,,4.9,5.0,4.8,4.9,,46.1,50.1,44.3,38.0,,13.9,19.6,14.1,2.4,,
3305109,33092222,urbana,estadual,35.8,33.8,33.3,42.5,,,5.1,5.4,5.2,5.3,,57.1,55.6,58.0,58.8,,23.2,19.2,25.8,21.4,,
3305109,33092230,urbana,estadual,41.4,41.0,40.7,43.1,,,5.4,5.6,5.4,5.2,,33.8,35.8,31.3,33.8,,9.0,8.8,7.9,10.6,,
3305109,33092249,urbana,estadual,39.7,45.0,38.3,34.2,,,4.5,4.5,4.5,4.5,,67.4,71.4,69.0,57.3,,33.5,35.4,35.1,27.4,,
