id_municipio,id_escola,localizacao,rede,atu_em,atu_em_1_ano,atu_em_2_ano,atu_em_3_ano,atu_em_4_ano,afd_em_grupo_1,had_em,had_em_1_ano,had_em_2_ano,had_em_3_ano,had_em_4_ano,tdi_em,tdi_em_1_ano,tdi_em_2_ano,tdi_em_3_ano,tdi_em_4_ano,taxa_abandono_em,taxa_abandono_em_1_ano,taxa_abandono_em_2_ano,taxa_abandono_em_3_ano,taxa_abandono_em_4_ano,dsu_em
3305554,33045470,rural,estadual,32.7,34.7,32.7,30.7,,70.9,9.8,9.8,9.8,9.8,,10.2,9.6,10.2,10.9,,,,,,,100.0
3305554,33045542,rural,estadual,16.2,18.0,14.5,16.0,,76.5,5.1,5.2,5.1,5.0,,33.0,30.6,48.3,21.9,,,,,,,100.0
3305554,33045550,rural,estadual,18.3,18.0,22.0,15.0,,95.5,5.3,5.3,5.3,5.3,,47.9,61.1,40.9,26.7,,,,,,,100.0
3305554,33045569,rural,estadual,36.4,39.3,34.0,35.5,,83.0,5.0,5.0,5.0,4.8,,57.4,65.3,51.0,53.5,,,,,,,100.0
3305554,33045577,rural,estadual,27.9,29.0,25.7,29.5,,85.0,5.3,5.3,5.3,5.3,,35.4,43.7,37.7,20.3,,,,,,,100.0
3305554,33166382,rural,estadual,25.3,33.0,21.0,26.0,,55.6,4.8,4.8,4.8,4.8,,78.2,69.7,88.1,73.1,,,,,,,100.0
3305554,33045186,rural,municipal,,,,,,,,,,,,,,,,,,,,,,
3305554,33045194,rural,municipal,,,,,,,,,,,,,,,,,,,,,,
3305554,33045593,rural,municipal,,,,,,,,,,,,,,,,,,,,,,
3305554,33045607,rural,municipal,,,,,,,,,,,,,,,,,,,,,,
3305554,33045623,rural,municipal,,,,,,,,,,,,,,,,,,,,,,
3305554,33045631,rural,municipal,,,,,,,,,,,,,,,,,,,,,,
3305554,33045640,rural,municipal,,,,,,,,,,,,,,,,,,,,,,
3305554,33045658,rural,municipal,,,,,,,,,,,,,,,,,,,,,,
3305554,33045682,rural,municipal,,,,,,,,,,,,,,,,,,,,,,
3305554,33045704,rural,municipal,,,,,,,,,,,,,,,,,,,,,,
3305554,33045712,rural,municipal,,,,,,,,,,,,,,,,,,,,,,
3305554,33045720,rural,municipal,,,,,,,,,,,,,,,,,,,,,,
3305554,33045755,rural,municipal,,,,,,,,,,,,,,,,,,,,,,
3305554,33045763,rural,municipal,,,,,,,,,,,,,,,,,,,,,,
3305554,33120188,rural,municipal,,,,,,,,,,,,,,,,,,,,,,
3305554,33120196,rural,municipal,,,,,,,,,,,,,,,,,,,,,,
3305554,33126763,rural,municipal,,,,,,,,,,,,,,,,,,,,,,
3305554,33126771,rural,municipal,,,,,,,,,,,,,,,,,,,,,,
3305554,33131147,rural,municipal,,,,,,,,,,,,,,,,,,,,,,
3305554,33131155,rural,municipal,,,,,,,,,,,,,,,,,,,,,,
3305554,33131198,rural,municipal,,,,,,,,,,,,,,,,,,,,,,
