id_municipio,id_escola,localizacao,rede,atu_em,atu_em_1_ano,atu_em_2_ano,atu_em_3_ano,atu_em_4_ano,afd_em_grupo_1,had_em,had_em_1_ano,had_em_2_ano,had_em_3_ano,had_em_4_ano,tdi_em,tdi_em_1_ano,tdi_em_2_ano,tdi_em_3_ano,tdi_em_4_ano,taxa_abandono_em,taxa_abandono_em_1_ano,taxa_abandono_em_2_ano,taxa_abandono_em_3_ano,taxa_abandono_em_4_ano,dsu_em
3305752,33052212,rural,municipal,,,,,,,,,,,,,,,,,,,,,,
3305752,33052220,rural,municipal,,,,,,,,,,,,,,,,,,,,,,
3305752,33052280,rural,municipal,,,,,,,,,,,,,,,,,,,,,,
3305752,33052298,rural,municipal,,,,,,,,,,,,,,,,,,,,,,
3305752,33052310,rural,municipal,,,,,,,,,,,,,,,,,,,,,,
3305752,33052344,rural,municipal,,,,,,,,,,,,,,,,,,,,,,
3305752,33052379,rural,municipal,,,,,,,,,,,,,,,,,,,,,,
3305752,33052409,rural,municipal,,,,,,,,,,,,,,,,,,,,,,
3305752,33052417,rural,municipal,,,,,,,,,,,,,,,,,,,,,,
3305752,33052182,urbana,estadual,38.1,38.8,33.6,42.8,,,,,,,,57.3,57.1,57.1,57.9,,14.0,16.2,16.0,8.9,,
3305752,33099936,urbana,estadual,26.3,24.0,30.0,27.0,,,,,,,,50.5,47.9,53.3,51.9,,5.9,2.2,13.8,3.7,,
3305752,33052190,urbana,municipal,,,,,,,,,,,,,,,,,,,,,,
3305752,33052263,urbana,municipal,,,,,,,,,,,,,,,,,,,,,,
3305752,33052395,urbana,municipal,,,,,,,,,,,,,,,,,,,,,,
3305752,33112274,urbana,municipal,,,,,,,,,,,,,,,,,,,,,,
3305752,33118710,urbana,municipal,,,,,,,,,,,,,,,,,,,,,,
3305752,33125759,urbana,municipal,,,,,,,,,,,,,,,,,,,,,,
3305752,33099944,urbana,privada,,,,,,,,,,,,,,,,,,,,,,
3305752,33099952,urbana,privada,,,,,,,,,,,,,,,,,,,,,,
3305752,33140057,urbana,privada,,,,,,,,,,,,,,,,,,,,,,
3305752,33154430,urbana,privada,,,,,,,,,,,,,,,,,,,,,,
3305752,33052212,rural,municipal,,,,,,,,,,,,,,,,,,,,,,
3305752,33052220,rural,municipal,,,,,,,,,,,,,,,,,,,,,,
3305752,33052280,rural,municipal,,,,,,,,,,,,,,,,,,,,,,
3305752,33052298,rural,municipal,,,,,,,,,,,,,,,,,,,,,,
3305752,33052310,rural,municipal,,,,,,,,,,,,,,,,,,,,,,
3305752,33052328,rural,municipal,,,,,,,,,,,,,,,,,,,,,,
3305752,33052344,rural,municipal,,,,,,,,,,,,,,,,,,,,,,
3305752,33052182,urbana,estadual,30.7,33.2,27.0,31.3,,,5.1,5.1,5.2,4.9,,44.8,53.0,40.7,35.1,,11.4,14.9,13.0,3.2,,94.4
3305752,33099936,urbana,estadual,27.0,34.0,20.3,25.0,,,5.2,5.3,5.3,5.3,,33.8,39.2,23.0,36.0,,9.9,11.0,5.0,6.1,,90.9
3305752,33052190,urbana,municipal,,,,,,,,,,,,,,,,,,,,,,
3305752,33052263,urbana,municipal,,,,,,,,,,,,,,,,,,,,,,
3305752,33052379,urbana,municipal,,,,,,,,,,,,,,,,,,,,,,
3305752,33052395,urbana,municipal,,,,,,,,,,,,,,,,,,,,,,
3305752,33052409,urbana,municipal,,,,,,,,,,,,,,,,,,,,,,
3305752,33052417,urbana,municipal,,,,,,,,,,,,,,,,,,,,,,
3305752,33112274,urbana,municipal,,,,,,,,,,,,,,,,,,,,,,
3305752,33118710,urbana,municipal,,,,,,,,,,,,,,,,,,,,,,
3305752,33125759,urbana,municipal,,,,,,,,,,,,,,,,,,,,,,
3305752,33158681,urbana,municipal,,,,,,,,,,,,,,,,,,,,,,
3305752,33099944,urbana,privada,,,,,,,,,,,,,,,,,,,,,,
3305752,33099952,urbana,privada,,,,,,,,,,,,,,,,,,,,,,
3305752,33154430,urbana,privada,,,,,,,,,,,,,,,,,,,,,,
3305752,33329206,urbana,privada,,,,,,,,,,,,,,,,,,,,,,
3305752,33052212,rural,municipal,,,,,,,,,,,,,,,,,,,,,,
3305752,33052220,rural,municipal,,,,,,,,,,,,,,,,,,,,,,
3305752,33052280,rural,municipal,,,,,,,,,,,,,,,,,,,,,,
3305752,33052298,rural,municipal,,,,,,,,,,,,,,,,,,,,,,
3305752,33052310,rural,municipal,,,,,,,,,,,,,,,,,,,,,,
3305752,33052328,rural,municipal,,,,,,,,,,,,,,,,,,,,,,
3305752,33052344,rural,municipal,,,,,,,,,,,,,,,,,,,,,,
3305752,33052182,urbana,estadual,28.9,25.2,31.2,32.7,,,5.6,5.6,5.5,5.5,,45.7,50.3,43.6,41.8,,11.8,14.2,10.8,9.6,,
3305752,33099936,urbana,estadual,30.1,37.7,23.7,27.0,,,5.8,5.8,5.8,5.8,,41.7,41.6,47.9,25.9,,9.4,11.0,8.9,3.7,,
3305752,33052190,urbana,municipal,,,,,,,,,,,,,,,,,,,,,,
3305752,33052263,urbana,municipal,,,,,,,,,,,,,,,,,,,,,,
3305752,33052379,urbana,municipal,,,,,,,,,,,,,,,,,,,,,,
3305752,33052395,urbana,municipal,,,,,,,,,,,,,,,,,,,,,,
3305752,33052409,urbana,municipal,,,,,,,,,,,,,,,,,,,,,,
3305752,33052417,urbana,municipal,,,,,,,,,,,,,,,,,,,,,,
3305752,33112274,urbana,municipal,,,,,,,,,,,,,,,,,,,,,,
3305752,33118710,urbana,municipal,,,,,,,,,,,,,,,,,,,,,,
3305752,33125759,urbana,municipal,,,,,,,,,,,,,,,,,,,,,,
3305752,33099944,urbana,privada,,,,,,,,,,,,,,,,,,,,,,
3305752,33099952,urbana,privada,,,,,,,,,,,,,,,,,,,,,,
3305752,33140057,urbana,privada,,,,,,,,,,,,,,,,,,,,,,
3305752,33154430,urbana,privada,,,,,,,,,,,,,,,,,,,,,,
3305752,33329206,urbana,privada,,,,,,,,,,,,,,,,,,,,,,
3305752,33052212,rural,municipal,,,,,,,,,,,,,,,,,,,,,,
3305752,33052220,rural,municipal,,,,,,,,,,,,,,,,,,,,,,
3305752,33052280,rural,municipal,,,,,,,,,,,,,,,,,,,,,,
3305752,33052298,rural,municipal,,,,,,,,,,,,,,,,,,,,,,
3305752,33052310,rural,municipal,,,,,,,,,,,,,,,,,,,,,,
3305752,33052328,rural,municipal,,,,,,,,,,,,,,,,,,,,,,
3305752,33052344,rural,municipal,,,,,,,,,,,,,,,,,,,,,,
3305752,33052182,urbana,estadual,27.4,28.0,27.4,26.3,,74.4,5.2,5.3,5.2,5.0,,49.2,58.3,43.1,40.5,,,,,,,100.0
3305752,33099936,urbana,estadual,30.3,31.8,30.0,28.8,,82.3,7.5,8.0,7.7,6.4,,39.4,41.4,37.2,39.6,,,,,,,100.0
3305752,33052190,urbana,municipal,,,,,,,,,,,,,,,,,,,,,,
3305752,33052263,urbana,municipal,,,,,,,,,,,,,,,,,,,,,,
3305752,33052379,urbana,municipal,,,,,,,,,,,,,,,,,,,,,,
3305752,33052395,urbana,municipal,,,,,,,,,,,,,,,,,,,,,,
3305752,33052409,urbana,municipal,,,,,,,,,,,,,,,,,,,,,,
3305752,33052417,urbana,municipal,,,,,,,,,,,,,,,,,,,,,,
3305752,33112274,urbana,municipal,,,,,,,,,,,,,,,,,,,,,,
3305752,33118710,urbana,municipal,,,,,,,,,,,,,,,,,,,,,,
3305752,33125759,urbana,municipal,,,,,,,,,,,,,,,,,,,,,,
3305752,33158681,urbana,municipal,,,,,,,,,,,,,,,,,,,,,,
3305752,33162913,urbana,municipal,,,,,,,,,,,,,,,,,,,,,,
3305752,33099944,urbana,privada,,,,,,,,,,,,,,,,,,,,,,
3305752,33099952,urbana,privada,,,,,,,,,,,,,,,,,,,,,,
3305752,33162417,urbana,privada,,,,,,,,,,,,,,,,,,,,,,
3305752,33329206,urbana,privada,,,,,,,,,,,,,,,,,,,,,,
3305752,33052212,rural,municipal,,,,,,,,,,,,,,,,,,,,,,
3305752,33052220,rural,municipal,,,,,,,,,,,,,,,,,,,,,,
3305752,33052280,rural,municipal,,,,,,,,,,,,,,,,,,,,,,
3305752,33052298,rural,municipal,,,,,,,,,,,,,,,,,,,,,,
3305752,33052310,rural,municipal,,,,,,,,,,,,,,,,,,,,,,
3305752,33052328,rural,municipal,,,,,,,,,,,,,,,,,,,,,,
3305752,33052182,urbana,estadual,27.4,29.1,29.3,22.5,,66.9,5.1,5.2,5.1,5.1,,48.7,55.9,47.0,34.4,,16.8,20.4,18.5,6.7,,90.0
3305752,33099936,urbana,estadual,32.9,38.3,29.2,30.8,,78.1,6.9,8.5,6.4,5.2,,44.5,46.1,47.4,39.0,,10.7,12.3,13.3,5.3,,97.2
3305752,33052190,urbana,municipal,,,,,,,,,,,,,,,,,,,,,,
3305752,33052263,urbana,municipal,,,,,,,,,,,,,,,,,,,,,,
3305752,33052379,urbana,municipal,,,,,,,,,,,,,,,,,,,,,,
3305752,33052395,urbana,municipal,,,,,,,,,,,,,,,,,,,,,,
3305752,33052409,urbana,municipal,,,,,,,,,,,,,,,,,,,,,,
3305752,33052417,urbana,municipal,,,,,,,,,,,,,,,,,,,,,,
3305752,33112274,urbana,municipal,,,,,,,,,,,,,,,,,,,,,,
3305752,33118710,urbana,municipal,,,,,,,,,,,,,,,,,,,,,,
3305752,33125759,urbana,municipal,,,,,,,,,,,,,,,,,,,,,,
3305752,33158681,urbana,municipal,,,,,,,,,,,,,,,,,,,,,,
3305752,33162913,urbana,municipal,,,,,,,,,,,,,,,,,,,,,,
3305752,33099944,urbana,privada,,,,,,,,,,,,,,,,,,,,,,
3305752,33099952,urbana,privada,,,,,,,,,,,,,,,,,,,,,,
3305752,33162417,urbana,privada,,,,,,,,,,,,,,,,,,,,,,
3305752,33329206,urbana,privada,,,,,,,,,,,,,,,,,,,,,,
3305752,33052212,rural,municipal,,,,,,,,,,,,,,,,,,,,,,
3305752,33052220,rural,municipal,,,,,,,,,,,,,,,,,,,,,,
3305752,33052280,rural,municipal,,,,,,,,,,,,,,,,,,,,,,
3305752,33052298,rural,municipal,,,,,,,,,,,,,,,,,,,,,,
3305752,33052310,rural,municipal,,,,,,,,,,,,,,,,,,,,,,
3305752,33052344,rural,municipal,,,,,,,,,,,,,,,,,,,,,,
3305752,33052417,rural,municipal,,,,,,,,,,,,,,,,,,,,,,
3305752,33052182,urbana,estadual,32.9,34.7,34.6,28.3,,,,,,,,54.0,55.8,52.0,54.0,,15.8,18.0,13.6,15.4,,
3305752,33099936,urbana,estadual,36.7,43.0,43.0,24.0,,,,,,,,46.4,48.8,44.2,45.8,,7.5,9.7,2.3,13.6,,
3305752,33052190,urbana,municipal,,,,,,,,,,,,,,,,,,,,,,
3305752,33052263,urbana,municipal,,,,,,,,,,,,,,,,,,,,,,
3305752,33052379,urbana,municipal,,,,,,,,,,,,,,,,,,,,,,
3305752,33052395,urbana,municipal,,,,,,,,,,,,,,,,,,,,,,
3305752,33052409,urbana,municipal,,,,,,,,,,,,,,,,,,,,,,
3305752,33112274,urbana,municipal,,,,,,,,,,,,,,,,,,,,,,
3305752,33118710,urbana,municipal,,,,,,,,,,,,,,,,,,,,,,
3305752,33125759,urbana,municipal,,,,,,,,,,,,,,,,,,,,,,
3305752,33099944,urbana,privada,,,,,,,,,,,,,,,,,,,,,,
3305752,33140057,urbana,privada,,,,,,,,,,,,,,,,,,,,,,
3305752,33154430,urbana,privada,,,,,,,,,,,,,,,,,,,,,,
3305752,33329206,urbana,privada,,,,,,,,,,,,,,,,,,,,,,
3305752,33341206,urbana,privada,,,,,,,,,,,,,,,,,,,,,,
3305752,33052212,rural,municipal,,,,,,,,,,,,,,,,,,,,,,
3305752,33052220,rural,municipal,,,,,,,,,,,,,,,,,,,,,,
3305752,33052280,rural,municipal,,,,,,,,,,,,,,,,,,,,,,
3305752,33052298,rural,municipal,,,,,,,,,,,,,,,,,,,,,,
3305752,33052310,rural,municipal,,,,,,,,,,,,,,,,,,,,,,
3305752,33052328,rural,municipal,,,,,,,,,,,,,,,,,,,,,,
3305752,33052344,rural,municipal,,,,,,,,,,,,,,,,,,,,,,
3305752,33052182,urbana,estadual,22.8,24.3,23.7,20.0,,71.5,5.1,5.1,5.1,5.0,,50.8,45.9,56.3,50.0,,10.7,14.0,8.6,9.0,,100.0
3305752,33099936,urbana,estadual,28.6,28.4,29.6,27.3,,81.4,5.1,5.1,5.1,5.1,,42.9,45.2,45.4,33.9,,10.0,12.1,10.7,4.6,,100.0
3305752,33052190,urbana,municipal,,,,,,,,,,,,,,,,,,,,,,
3305752,33052263,urbana,municipal,,,,,,,,,,,,,,,,,,,,,,
3305752,33052379,urbana,municipal,,,,,,,,,,,,,,,,,,,,,,
3305752,33052395,urbana,municipal,,,,,,,,,,,,,,,,,,,,,,
3305752,33052409,urbana,municipal,,,,,,,,,,,,,,,,,,,,,,
3305752,33052417,urbana,municipal,,,,,,,,,,,,,,,,,,,,,,
3305752,33112274,urbana,municipal,,,,,,,,,,,,,,,,,,,,,,
3305752,33118710,urbana,municipal,,,,,,,,,,,,,,,,,,,,,,
3305752,33125759,urbana,municipal,,,,,,,,,,,,,,,,,,,,,,
3305752,33158681,urbana,municipal,,,,,,,,,,,,,,,,,,,,,,
3305752,33162913,urbana,municipal,,,,,,,,,,,,,,,,,,,,,,
3305752,33099944,urbana,privada,,,,,,,,,,,,,,,,,,,,,,
3305752,33099952,urbana,privada,,,,,,,,,,,,,,,,,,,,,,
3305752,33154430,urbana,privada,,,,,,,,,,,,,,,,,,,,,,
3305752,33162417,urbana,privada,,,,,,,,,,,,,,,,,,,,,,
3305752,33168555,urbana,privada,,,,,,,,,,,,,,,,,,,,,,
3305752,33329206,urbana,privada,,,,,,,,,,,,,,,,,,,,,,
3305752,33052212,rural,municipal,,,,,,,,,,,,,,,,,,,,,,
3305752,33052220,rural,municipal,,,,,,,,,,,,,,,,,,,,,,
3305752,33052280,rural,municipal,,,,,,,,,,,,,,,,,,,,,,
3305752,33052298,rural,municipal,,,,,,,,,,,,,,,,,,,,,,
3305752,33052310,rural,municipal,,,,,,,,,,,,,,,,,,,,,,
3305752,33052328,rural,municipal,,,,,,,,,,,,,,,,,,,,,,
3305752,33052344,rural,municipal,,,,,,,,,,,,,,,,,,,,,,
3305752,33052182,urbana,estadual,35.5,36.2,34.3,35.7,,,,,,,,51.6,54.4,51.8,45.8,,16.0,16.8,16.9,13.1,,
3305752,33099936,urbana,estadual,34.8,33.7,32.0,41.0,,,,,,,,46.6,54.5,31.3,39.0,,3.0,5.2,0.0,0.0,,
3305752,33052190,urbana,municipal,,,,,,,,,,,,,,,,,,,,,,
3305752,33052263,urbana,municipal,,,,,,,,,,,,,,,,,,,,,,
3305752,33052379,urbana,municipal,,,,,,,,,,,,,,,,,,,,,,
3305752,33052395,urbana,municipal,,,,,,,,,,,,,,,,,,,,,,
3305752,33052409,urbana,municipal,,,,,,,,,,,,,,,,,,,,,,
3305752,33052417,urbana,municipal,,,,,,,,,,,,,,,,,,,,,,
3305752,33112274,urbana,municipal,,,,,,,,,,,,,,,,,,,,,,
3305752,33118710,urbana,municipal,,,,,,,,,,,,,,,,,,,,,,
3305752,33125759,urbana,municipal,,,,,,,,,,,,,,,,,,,,,,
3305752,33099944,urbana,privada,,,,,,,,,,,,,,,,,,,,,,
3305752,33099952,urbana,privada,,,,,,,,,,,,,,,,,,,,,,
3305752,33140057,urbana,privada,,,,,,,,,,,,,,,,,,,,,,
3305752,33154430,urbana,privada,,,,,,,,,,,,,,,,,,,,,,
3305752,33329206,urbana,privada,,,,,,,,,,,,,,,,,,,,,,
3305752,33052212,rural,municipal,,,,,,,,,,,,,,,,,,,,,,
3305752,33052220,rural,municipal,,,,,,,,,,,,,,,,,,,,,,
3305752,33052280,rural,municipal,,,,,,,,,,,,,,,,,,,,,,
3305752,33052298,rural,municipal,,,,,,,,,,,,,,,,,,,,,,
3305752,33052310,rural,municipal,,,,,,,,,,,,,,,,,,,,,,
3305752,33052328,rural,municipal,,,,,,,,,,,,,,,,,,,,,,
3305752,33052344,rural,municipal,,,,,,,,,,,,,,,,,,,,,,
3305752,33052182,urbana,estadual,29.4,29.7,31.8,25.3,,71.9,5.1,5.1,5.1,5.1,,46.0,55.1,43.5,34.7,,12.0,16.9,11.8,4.0,,100.0
3305752,33099936,urbana,estadual,28.7,28.8,28.0,29.5,,84.3,5.3,5.1,5.9,5.3,,43.4,48.6,40.5,32.2,,10.5,12.3,12.1,3.4,,100.0
3305752,33052190,urbana,municipal,,,,,,,,,,,,,,,,,,,,,,
3305752,33052263,urbana,municipal,,,,,,,,,,,,,,,,,,,,,,
3305752,33052379,urbana,municipal,,,,,,,,,,,,,,,,,,,,,,
3305752,33052395,urbana,municipal,,,,,,,,,,,,,,,,,,,,,,
3305752,33052409,urbana,municipal,,,,,,,,,,,,,,,,,,,,,,
3305752,33052417,urbana,municipal,,,,,,,,,,,,,,,,,,,,,,
3305752,33112274,urbana,municipal,,,,,,,,,,,,,,,,,,,,,,
3305752,33118710,urbana,municipal,,,,,,,,,,,,,,,,,,,,,,
3305752,33125759,urbana,municipal,,,,,,,,,,,,,,,,,,,,,,
3305752,33158681,urbana,municipal,,,,,,,,,,,,,,,,,,,,,,
3305752,33162913,urbana,municipal,,,,,,,,,,,,,,,,,,,,,,
3305752,33099944,urbana,privada,,,,,,,,,,,,,,,,,,,,,,
3305752,33099952,urbana,privada,,,,,,,,,,,,,,,,,,,,,,
3305752,33154430,urbana,privada,,,,,,,,,,,,,,,,,,,,,,
3305752,33162417,urbana,privada,,,,,,,,,,,,,,,,,,,,,,
3305752,33168555,urbana,privada,,,,,,,,,,,,,,,,,,,,,,
3305752,33329206,urbana,privada,,,,,,,,,,,,,,,,,,,,,,
3305752,33052212,rural,municipal,,,,,,,,,,,,,,,,,,,,,,
3305752,33052220,rural,municipal,,,,,,,,,,,,,,,,,,,,,,
3305752,33052280,rural,municipal,,,,,,,,,,,,,,,,,,,,,,
3305752,33052298,rural,municipal,,,,,,,,,,,,,,,,,,,,,,
3305752,33052310,rural,municipal,,,,,,,,,,,,,,,,,,,,,,
3305752,33052328,rural,municipal,,,,,,,,,,,,,,,,,,,,,,
3305752,33052182,urbana,estadual,30.0,31.0,28.3,30.3,,65.8,5.1,5.2,5.1,5.1,,46.4,56.5,39.8,34.1,,7.7,11.4,4.4,4.4,,100.0
3305752,33099936,urbana,estadual,33.1,31.8,35.8,30.8,,78.3,5.8,6.9,5.2,5.1,,47.4,55.5,47.9,34.1,,6.5,13.9,2.4,1.7,,100.0
3305752,33052190,urbana,municipal,,,,,,,,,,,,,,,,,,,,,,
3305752,33052263,urbana,municipal,,,,,,,,,,,,,,,,,,,,,,
3305752,33052379,urbana,municipal,,,,,,,,,,,,,,,,,,,,,,
3305752,33052395,urbana,municipal,,,,,,,,,,,,,,,,,,,,,,
3305752,33052409,urbana,municipal,,,,,,,,,,,,,,,,,,,,,,
3305752,33052417,urbana,municipal,,,,,,,,,,,,,,,,,,,,,,
3305752,33112274,urbana,municipal,,,,,,,,,,,,,,,,,,,,,,
3305752,33118710,urbana,municipal,,,,,,,,,,,,,,,,,,,,,,
3305752,33125759,urbana,municipal,,,,,,,,,,,,,,,,,,,,,,
3305752,33158681,urbana,municipal,,,,,,,,,,,,,,,,,,,,,,
3305752,33162913,urbana,municipal,,,,,,,,,,,,,,,,,,,,,,
3305752,33099944,urbana,privada,,,,,,,,,,,,,,,,,,,,,,
3305752,33099952,urbana,privada,,,,,,,,,,,,,,,,,,,,,,
3305752,33154430,urbana,privada,,,,,,,,,,,,,,,,,,,,,,
